# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
1 0.728 1784570 108
2 0.730 2138888 109
2 0.734 2450358 124
2 0.739 2497902 122
1 0.742 3104372 102
2 0.744 2846216 115
1 0.747 2305488 108
2 0.749 1929478 102
1 0.752 2914060 104
1 0.755 2579268 109
1 0.758 2319524 106
1 0.760 2992566 106
2 0.766 2572466 119
1 0.769 2576696 108
1 0.772 2232448 106
2 0.774 2543650 101
1 0.779 2434752 119
1 0.783 2337694 99
1 0.786 2377594 107
1 0.789 2740700 119
2 0.791 3061368 123
1 0.798 2130520 100
2 0.802 2838366 115
2 0.807 3045788 105
2 0.810 2627600 106
2 0.813 3123036 111
2 0.816 2700906 104
2 0.821 2970874 120
1 0.825 2329346 106
2 0.831 2395492 104
1 0.835 2515390 118
1 0.839 2960978 100
2 0.841 2205230 108
2 0.844 2817568 121
2 0.847 2301850 115
2 0.851 2749140 119
1 0.856 3014340 111
3 0.860 2419524 126
2 0.864 3030230 113
1 0.867 2772610 108
1 0.871 2087524 101
2 0.874 2484836 115
1 0.877 2148442 103
4 0.879 2600350 113
2 0.885 1890578 100
2 0.888 2486012 101
1 0.891 3110984 108
2 0.894 2888988 116
2 0.899 2426082 120
2 0.903 3122852 120
2 0.906 2461502 115
2 0.912 2298932 110
2 0.915 2828100 108
1 0.918 2823964 100
2 0.922 2641242 117
2 0.926 2598184 103
2 0.929 2587278 119
3 0.932 2679016 125
2 0.938 2732618 106
1 0.942 2505734 108
1 0.945 2227670 100
2 0.948 2612042 110
2 0.952 3123516 105
2 0.955 3122944 109
7 0.958 2712060 119
2 0.967 2892880 124
1 0.970 2346226 107
1 0.974 3109328 103
1 0.977 2233392 109
2 0.979 2217084 112
2 0.982 2456134 104
1 0.985 2286432 114
2 0.987 2456696 104
1 0.991 2328488 105
2 0.993 2289758 107
2 0.996 2309662 107
2 0.999 3041750 122
3 1.003 2936192 126
2 1.007 3058770 111
3 1.011 3029350 122
6 1.015 3110574 125
3 1.022 2815228 102
3 1.026 2883288 127
2 1.031 2788600 122
3 1.034 2753278 119
2 1.039 2816536 106
3 1.042 2685402 125
2 1.047 2543434 105
3 1.050 2603388 109
2 1.054 2922678 110
2 1.057 2848456 118
2 1.060 3121258 106
2 1.064 2851736 102
2 1.067 3096136 102
2 1.070 3056538 119
3 1.074 3123424 128
9 1.078 3121626 121
2 1.092 3122658 125
2 1.095 3108872 108
2 1.098 3031792 126
5 1.102 3121350 114
2 1.109 2739658 108
2 1.112 2895654 109
3 1.115 2781346 128
3 1.119 2488098 114
8 1.123 2715820 119
2 1.132 2652792 102
3 1.135 2885482 127
2 1.139 2696560 113
2 1.142 2540668 110
6 1.145 2703048 120
2 1.153 3121626 110
6 1.156 2894548 116
3 1.163 3122382 121
5 1.167 3112634 121
11 1.173 2996776 126
3 1.186 2965142 118
3 1.190 3122658 128
3 1.195 2922238 109
3 1.203 3123128 129
3 1.207 2849188 104
2 1.211 3118908 119
2 1.214 2980706 122
2 1.218 2872682 118
2 1.222 2914700 110
2 1.225 2750942 106
2 1.228 3108194 109
2 1.231 2760022 125
3 1.234 2803886 121
2 1.238 3105868 108
