# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
1 8.610 1651958 4
3 8.617 2158132 6
3 8.622 2068254 4
42 8.631 3119824 9
1 8.674 1818792 5
2 8.688 2008134 6
19 8.703 2183732 7
2 8.724 1969176 4
2 8.737 2141776 6
33 8.741 3032408 7
1 8.775 1565408 4
1 8.780 1576246 5
6 8.782 2754870 7
4 8.790 2287062 6
95 8.800 3122658 10
1 8.897 1662414 4
10 8.899 2153626 6
3 8.915 2499198 6
1 8.919 1566910 4
3 8.921 1734156 5
2 8.927 1566910 5
51 8.931 3123918 12
5 8.985 2451588 6
6 8.991 2229412 6
1 8.999 1660970 4
31 9.001 3122358 8
25 9.035 2685334 7
5 9.061 1716514 6
1 9.069 1565408 4
1 9.072 1565408 4
53 9.074 3116408 9
5 9.138 2323926 5
1 9.152 1725368 6
1 9.161 1563906 4
10 9.242 2553732 6
8 9.255 2523472 6
1 9.271 1660970 4
4 9.295 2075764 6
7 9.300 2581204 7
6 9.308 2074262 5
2 9.358 1713652 5
8 9.362 2179160 5
1 9.373 1662472 4
12 9.376 2906482 7
6 9.395 2356148 6
12 9.409 2085046 5
5 9.424 2227578 6
9 9.430 2551898 8
3 9.440 2065250 5
10 9.445 2075764 6
1 9.456 1684148 6
1 9.460 1662472 4
7 9.464 2270540 6
3 9.474 2589448 6
5 9.478 2441592 6
1 9.484 1566910 4
2 9.486 1764212 7
1 9.490 1565408 4
4 9.493 2074262 5
7 9.508 2097998 7
1 9.518 1568412 4
4 9.524 2514024 6
1 9.548 1617744 4
1 9.565 1662414 4
1 9.567 1566910 4
1 9.569 1660970 4
1 9.572 1566910 4
5 9.580 2074262 5
2 9.586 1568154 5
1 9.592 1671808 5
1 9.596 1566910 4
23 9.598 3123902 9
1 9.643 1644448 4
2 9.649 1998096 5
1 9.656 1565408 4
1 9.661 1568412 4
12 9.665 2665974 6
2 9.681 1645838 4
1 9.684 1566910 4
6 9.687 2236950 7
2 9.701 1729312 6
4 9.711 2667180 7
1 9.718 1566910 4
3 9.723 2071000 5
3 9.728 1626778 4
5 9.765 2074262 5
2 9.774 1617300 4
9 9.778 2583162 7
28 9.791 3073992 7
56 9.822 3122732 9
1 9.879 1662472 4
9 9.882 2587946 6
4 9.893 2074262 6
1 9.898 1684094 6
4 9.904 2074262 5
1 9.909 1662472 4
1 9.912 1662472 4
1 9.914 1663974 4
1 9.916 1565408 4
3 9.918 1673252 5
26 9.922 3001652 7
50 9.950 3122770 11
