# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
3 0.728 2354984 108
4 0.732 2347322 107
4 0.737 2825456 125
4 0.744 2679222 121
7 0.749 2780742 119
4 0.757 2784532 109
3 0.762 3122042 102
4 0.766 2271184 104
7 0.771 3049442 114
3 0.779 3122658 106
4 0.785 2625884 120
3 0.790 2953642 108
3 0.795 2485306 106
4 0.799 2618638 102
5 0.806 3122990 122
4 0.813 2608358 101
4 0.818 3058072 109
4 0.824 2407706 119
4 0.829 2717698 122
3 0.838 2525748 104
4 0.844 3116616 115
3 0.851 3006928 104
3 0.856 2538692 105
4 0.860 3003932 111
3 0.865 3073632 103
4 0.871 2517352 118
3 0.876 2680840 107
4 0.884 2235904 104
4 0.890 2635588 118
3 0.896 2793838 101
3 0.901 2419992 108
4 0.905 2876524 120
3 0.910 2871646 116
4 0.915 2635812 119
4 0.922 3119654 112
4 0.929 2959826 127
4 0.936 2820140 113
3 0.941 2979968 108
9 0.946 3057034 116
9 0.956 2926166 121
4 0.966 2812346 107
3 0.973 2358680 100
3 0.977 2446204 101
4 0.982 3122928 108
3 0.987 2803314 114
4 0.993 2482190 119
10 0.999 3113030 121
5 1.013 3122658 112
5 1.019 3079986 110
4 1.025 2858688 102
5 1.031 2975718 117
4 1.037 2631774 104
5 1.042 3121620 119
5 1.048 2788598 125
5 1.056 2782244 107
5 1.062 2834814 111
5 1.068 3047266 104
6 1.074 3062502 110
5 1.081 3122658 106
5 1.087 3069804 110
13 1.093 3074238 111
10 1.108 3122658 123
4 1.120 2574428 103
4 1.126 3116708 112
5 1.131 2865814 114
4 1.137 2928284 105
4 1.142 2910530 115
4 1.147 2933676 105
23 1.153 3123544 123
6 1.177 3123046 127
5 1.184 2984156 111
23 1.191 3122986 125
5 1.215 3122658 126
4 1.222 3122956 123
5 1.227 2804166 120
4 1.234 3122658 107
4 1.240 2866972 125
4 1.247 2669548 105
5 1.252 2799576 109
5 1.258 2583440 110
5 1.264 3047760 118
4 1.270 2734576 106
4 1.276 2703316 102
4 1.281 3118210 102
5 1.286 2693086 117
5 1.293 3122658 127
5 1.299 3122042 114
4 1.305 2688580 108
5 1.310 2705912 107
5 1.319 3122160 125
4 1.325 2652532 108
5 1.330 3118408 127
4 1.337 2835534 114
4 1.342 3037930 110
4 1.348 3123806 110
5 1.353 2561428 108
5 1.359 3121386 129
