# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
2 0.781 1867180 108
1 0.808 2738110 107
2 0.831 2882030 124
1 1.042 2522338 120
1 1.073 3058538 102
1 1.077 2534640 115
1 1.095 3077762 108
1 1.131 2266180 101
2 1.165 2095838 104
1 1.187 2286064 107
2 1.201 2388690 105
1 1.214 3108560 106
2 1.460 2865634 121
2 1.488 2894750 108
1 1.563 2973540 105
2 1.609 2429876 101
1 1.809 2585330 120
2 1.917 2162650 100
1 1.949 3014094 108
2 2.033 2492338 119
1 2.044 2440668 122
1 2.435 2173138 103
1 2.673 2247104 113
1 2.900 3123046 104
2 2.970 2293502 105
