# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
1 6.519 1782982 18
1 6.523 1592978 16
3 6.526 2102382 17
1 6.539 1591422 15
1 6.591 1742740 17
1 6.606 1584192 16
1 6.608 1798006 17
1 6.630 1580004 17
1 6.632 1600796 15
1 6.656 1614476 16
2 6.667 1843240 13
11 6.672 2769716 19
2 6.684 2022442 18
1 6.708 1667850 16
1 6.747 1594772 18
1 6.750 1612358 15
1 6.787 2090420 18
2 6.789 1676582 17
1 6.793 1632500 16
4 6.799 2122474 17
1 6.855 1586888 16
2 7.427 1765178 17
1 7.525 1749720 16
1 7.590 1641338 16
1 7.646 1564072 16
1 7.656 1564206 15
2 7.661 2007876 17
1 7.664 1632500 16
2 7.666 2022950 14
1 7.674 1591476 16
1 7.679 1676528 17
2 7.694 1742548 18
1 7.700 1627432 17
1 7.702 1732614 16
5 7.704 2491276 18
4 7.720 2362102 16
2 7.726 1832094 18
1 7.729 1749872 15
1 7.732 1949152 14
2 7.734 2194772 18
4 7.738 2152192 17
1 7.758 1632500 16
1 7.760 1591422 15
1 7.762 2164646 17
1 7.766 1591368 15
1 7.768 1802084 14
3 7.771 2319778 18
4 7.776 2368378 14
9 7.781 1969440 16
1 7.793 1946088 16
1 7.795 1589920 15
1 7.801 1582690 16
2 7.834 1964690 16
1 7.839 1710774 18
1 7.846 1778368 16
1 7.848 2143460 17
1 7.850 1589920 15
1 7.855 1711932 16
1 7.859 1563726 16
1 7.864 1604994 16
1 7.918 1827486 18
1 7.939 1894198 16
1 8.074 1656948 15
1 8.079 2228458 17
1 8.082 1589920 15
1 8.148 1694654 16
4 8.157 2153748 17
2 8.164 1591422 15
1 8.171 1632500 16
1 8.173 1676582 17
1 8.175 1696320 16
1 8.177 1874364 14
1 8.180 1909786 16
1 8.187 1634002 16
2 8.189 1617010 18
1 8.197 1591422 15
2 8.203 1887872 17
1 8.206 1635504 16
1 8.212 1591422 15
1 8.216 1591422 15
1 8.220 1889482 15
3 8.228 1816652 15
4 8.232 1981872 14
2 8.237 2153694 18
7 8.240 2274972 18
1 8.248 1744986 13
1 8.252 1589920 15
3 8.255 1970806 17
8 8.259 2477796 18
2 8.268 2109612 16
13 8.271 2795684 20
8 8.285 2165764 19
2 8.302 1930560 17
2 8.308 1606442 16
1 8.311 1930506 15
2 8.314 2102274 17
4 8.321 1957300 16
6 8.326 2561524 17
9 8.333 2166018 18
1 8.344 1749468 18
1 8.371 1605744 16
1 8.467 1682788 17
1 8.471 1629026 16
1 8.520 2196956 18
6 8.524 2404336 17
1 8.532 1968712 15
2 8.535 2059024 17
1 8.540 1865650 17
1 8.590 1707562 15
1 8.617 1580854 14
1 8.622 1637060 17
1 8.638 1974642 16
2 8.644 1847356 16
1 8.711 1784566 17
1 8.754 1625270 16
1 8.772 1710430 16
1 8.859 2099902 17
3 8.861 2186040 17
1 8.868 1916934 17
1 8.872 1588526 17
4 8.877 2026008 16
18 8.883 2720942 19
10 8.902 2585556 19
3 8.913 1981872 13
25 8.918 2768166 19
6 8.945 2492832 17
3 8.952 2285948 17
1 8.957 1943906 14
1 8.963 1589866 14
1 8.966 1932062 15
2 8.969 1932062 16
1 8.973 1599256 17
1 8.975 1630224 18
5 8.979 1890886 17
1 8.986 1591422 15
1 8.990 2232340 19
1 9.000 1563916 15
16 9.003 2672162 19
5 9.020 1955398 16
1 9.026 1569924 15
2 9.029 2321172 17
1 9.042 1756566 17
1 9.046 1682482 15
3 9.049 2810154 19
5 9.053 2026062 16
11 9.059 2397520 18
3 9.073 1955462 17
1 9.097 1736958 16
1 9.129 1636546 15
1 9.156 1565888 15
5 9.159 2373434 17
3 9.166 1903136 16
2 9.172 1937120 17
1 9.175 1759044 16
1 9.177 1589920 15
1 9.180 1974642 16
1 9.185 1673578 17
1 9.197 2139754 17
2 9.200 1591422 15
1 9.206 1676582 17
1 9.209 1783170 17
1 9.229 1724018 16
1 9.234 1582690 16
1 9.237 1673320 18
2 9.248 2295208 18
1 9.256 1676324 18
1 9.260 1753010 16
1 9.263 1667850 16
1 9.269 1694264 15
1 9.271 1716976 17
1 9.285 1735032 18
1 9.287 1630684 16
1 9.302 1587666 16
1 9.310 1652360 17
1 9.355 1673632 17
1 9.362 1653740 15
1 9.379 1582690 16
1 9.643 1743220 16
1 9.646 1740708 16
1 9.653 1573084 16
1 9.686 1663678 17
1 9.688 2137302 18
3 9.690 2085418 17
2 9.694 1974642 16
3 9.699 2064028 16
1 9.706 2096374 17
2 9.731 1577104 17
1 9.734 1576402 15
1 9.737 1634002 16
1 9.739 1591422 15
1 9.742 1708594 17
2 9.749 2705554 18
1 9.800 1625270 16
1 9.822 1586446 15
2 9.825 1737240 17
1 9.830 1955526 17
1 9.935 1589920 15
