# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
17 7.882 2580880 6
3 7.923 2069756 5
1 7.927 1566910 4
1 7.932 1569656 5
3 8.008 2170148 6
1 8.012 1768872 5
3 8.026 2033708 5
1 8.033 1673310 5
1 8.035 1577748 5
22 8.039 3122770 9
3 8.062 2072760 4
1 8.069 1663974 4
44 8.072 2683644 7
4 8.118 2129482 5
1 8.127 1566910 4
1 8.130 1663974 4
22 8.132 2737088 6
7 8.157 2550208 6
4 8.179 2089726 6
4 8.184 2177600 5
32 8.191 3123310 66
3 8.225 2023194 5
1 8.229 1621860 4
12 8.233 3077598 6
4 8.247 2062246 4
2 8.289 1862554 5
3 8.296 2066752 6
1 8.301 1768872 5
1 8.311 1566910 4
1 8.313 1660912 4
3 8.315 2180662 5
2 8.433 1916884 4
1 8.447 1660970 4
7 8.484 2194292 6
2 8.528 1826876 5
6 8.537 2253332 6
3 8.551 1867098 4
1 8.563 1566910 4
2 8.567 1645838 5
1 8.570 1663974 4
1 8.586 1663458 6
4 8.589 2074262 5
2 8.598 1568412 4
1 8.601 1662472 4
1 8.605 1660256 4
3 8.648 2047226 5
2 8.663 1647340 4
2 8.669 1589448 4
1 8.678 1563906 4
1 9.079 1593268 4
5 9.087 2183408 6
2 9.096 1937692 4
14 9.217 2889848 62
6 9.829 2562412 6
4 9.837 2074262 4
3 9.843 2063748 4
3 9.935 2071258 5
4 9.939 2180662 5
1 9.963 1644448 4
1 9.966 1663974 4
1 9.974 1662472 4
22 9.977 2592236 6
