# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
28 8.025 3053678 72
1 8.055 1630930 4
9 8.057 3092096 9
13 8.068 2538380 5
6 8.083 2156576 6
23 8.090 2598784 8
4 8.116 2066752 4
2 8.121 1631284 4
1 8.125 1569332 4
130 8.130 3154200 12
42 8.263 3109052 61
1 8.311 1575244 4
56 8.313 3123806 10
1 8.370 1650398 4
4 8.376 2065250 5
3 8.382 2054736 5
2 8.386 1614620 5
162 8.391 3123292 78
2 8.554 2021692 4
78 8.560 3122936 9
22 8.641 2168588 6
4 8.677 2117578 5
276 8.685 3123504 13
3 8.962 2167202 6
4 8.977 2066752 4
1 8.983 1657966 4
3 8.987 2059566 5
15 9.021 2593954 6
2 9.037 1662526 5
1 9.064 1634212 4
1 9.085 1647806 4
2 9.101 1660970 4
1 9.104 1565408 4
4 9.106 2074262 5
7 9.111 2075764 5
50 9.119 3123836 10
1 9.171 1569656 5
1 9.175 1662472 4
3 9.178 1662472 5
1 9.185 1566856 4
1 9.187 1663974 4
3 9.189 1662472 5
4 9.195 2074262 5
1 9.203 1577694 5
1 9.205 1565408 4
48 9.207 3122416 8
5 9.256 2481358 5
2 9.263 1646304 4
44 9.267 3110642 7
3 9.312 2071258 5
21 9.337 2698852 7
2 9.368 1990540 5
3 9.371 2394278 6
1 9.393 1612794 4
3 9.432 2053234 5
1 9.477 1662826 4
1 9.479 1565408 4
1 9.482 1660970 4
3 9.485 2181906 6
4 9.489 2689894 7
2 9.500 1638440 4
6 9.503 2075764 4
4 9.540 2057740 5
3 9.556 2434944 6
1 9.584 1581718 4
5 9.625 2083598 5
1 9.631 1566910 4
2 9.636 1568154 5
1 9.642 1568412 4
1 9.645 1663920 4
2 9.652 1645838 4
2 9.656 1662472 4
4 9.659 2578934 6
3 9.667 2106952 5
23 9.676 2680716 7
6 9.705 2712944 8
1 9.738 1591054 5
1 9.742 1620770 4
2 9.751 1987258 4
6 9.754 2180716 6
5 9.762 2059242 5
56 9.768 3123972 9
5 9.827 2132598 5
28 9.835 2691342 7
8 9.866 2174654 6
4 9.878 2056238 5
1 9.884 1657966 4
4 9.887 2060744 5
1 9.893 1659468 4
1 9.896 1563906 4
86 9.899 3123972 14
3 9.991 1617470 5
1 9.996 1618860 4
