# BurstLength(ms) BurstStart(s) IngressMax(Bytes) MaxConnections
1 0.648 1107080 14
1 0.685 1021920 15
1 0.691 1234658 15
1 0.698 979340 14
1 0.707 971938 15
1 0.715 1021920 15
1 0.747 1064500 15
1 0.752 1421300 15
1 0.777 1021920 15
1 0.785 1109090 15
1 0.816 1064500 15
1 0.848 979340 13
1 0.869 1021920 15
1 0.871 1064500 15
2 0.878 1109338 15
1 0.883 1064646 15
2 0.922 1234820 15
2 0.930 1119566 15
1 0.952 1064500 15
1 0.960 1149660 15
1 0.966 1055764 15
1 0.977 1107080 15
1 0.985 1064500 15
1 1.007 1088300 15
1 1.033 1425174 15
1 1.040 1303620 15
2 1.052 1189128 15
2 1.067 1067218 15
2 1.074 995408 15
1 1.083 1300022 15
1 1.103 1192240 15
1 1.142 1148958 15
1 1.155 1121068 14
1 1.159 1107080 14
1 1.162 1420560 15
1 1.208 1021920 15
1 1.213 1124926 15
1 1.245 1107080 15
1 1.261 1064500 15
1 1.263 977568 14
1 1.278 1062404 14
1 1.332 963796 15
1 1.339 1107080 15
2 1.345 1453658 15
1 1.364 1107080 14
1 1.368 945194 15
1 1.375 977006 15
1 1.399 1011336 14
1 1.413 973894 14
1 1.428 979340 14
1 1.431 1149660 15
1 1.440 1021920 15
1 1.443 1178052 15
1 1.448 1107080 15
1 1.474 1021920 15
1 1.480 1076230 15
1 1.485 1080114 15
1 1.495 1021920 15
1 1.512 1234820 15
1 1.551 1064500 14
1 1.557 1021920 15
1 1.571 1107080 15
1 1.579 1564622 15
1 1.593 1021920 15
1 1.598 1021866 14
1 1.605 979340 13
1 1.608 974980 15
1 1.626 972338 15
1 1.661 1060140 15
1 1.689 1107080 15
1 1.719 1277346 15
1 1.753 950224 13
1 1.772 1064500 15
1 1.775 972862 15
1 1.780 1058022 15
1 1.809 1491110 15
1 1.823 1514424 15
1 1.828 1067742 15
1 1.835 1053640 14
1 1.870 1014086 14
1 1.891 1021920 15
1 1.897 979340 13
1 1.926 1064500 15
1 1.952 979340 15
1 1.962 1192240 15
1 1.993 1016712 14
1 2.002 1158256 14
1 2.004 1084080 15
1 2.034 1370178 15
1 2.043 1016728 15
1 2.063 1064500 15
2 2.087 1064500 14
1 2.092 1107080 15
1 2.094 1234658 15
1 2.100 1021920 14
1 2.112 1003426 15
1 2.132 1234820 15
1 2.148 1064500 15
1 2.151 1064500 15
1 2.162 1021920 15
1 2.188 1107080 15
1 2.197 1021920 14
1 2.202 979340 15
1 2.216 1021920 13
2 2.225 1362452 15
1 2.237 1149660 15
1 2.239 979340 14
1 2.242 1064500 15
1 2.246 979340 13
1 2.269 1277400 15
1 2.275 959490 15
2 2.287 1260230 15
1 2.299 1059346 15
1 2.301 1007246 15
1 2.317 979340 15
2 2.342 1130820 15
2 2.347 1237570 15
1 2.363 1064608 15
1 2.369 972700 15
2 2.426 1105810 15
1 2.492 1107080 15
1 2.503 1021920 14
1 2.508 1107080 14
1 2.519 1064500 15
1 2.525 1036794 14
2 2.531 1043872 15
1 2.537 995446 14
1 2.554 1014340 15
2 2.569 1192240 15
1 2.573 1149660 15
1 2.575 1619504 15
1 2.592 1107026 15
1 2.600 1107080 15
1 2.649 1021920 13
1 2.653 1021920 14
1 2.660 1660912 15
1 2.689 1192240 15
1 2.715 1107080 15
1 2.719 1005960 15
1 2.755 946474 15
1 2.757 1149660 15
1 2.764 1116270 15
1 2.790 979340 14
1 2.805 1652316 15
1 2.860 1166776 15
1 2.864 1064500 15
1 2.873 1149660 15
1 2.879 1107080 15
1 2.881 1149660 15
1 2.887 1021920 14
1 2.910 1107026 15
1 2.916 1192240 15
1 2.921 1064500 15
1 2.933 1234820 15
1 2.937 1077732 15
1 2.955 1107080 15
1 2.959 979232 14
1 2.968 1362560 15
1 2.987 1107080 15
2 2.992 996154 15
1 3.007 979340 15
1 3.034 939294 15
1 3.041 986634 15
2 3.043 1021920 15
1 3.070 1064500 15
1 3.074 1002956 14
1 3.094 1583316 15
1 3.101 1534852 15
2 3.106 974364 14
1 3.113 1064500 15
1 3.139 1090088 15
1 3.151 1100478 15
1 3.161 1422224 15
1 3.172 1066812 15
1 3.191 1444608 15
1 3.221 1062836 15
1 3.277 1056180 15
1 3.281 1405140 14
1 3.316 955016 15
1 3.378 1149660 15
1 3.383 979340 14
1 3.437 1034752 15
1 3.447 1020510 14
1 3.460 1003194 14
1 3.472 1064500 15
3 3.475 1257064 15
1 3.480 1443036 15
1 3.489 1021920 13
1 3.491 1094254 15
1 3.523 956632 15
1 3.548 1140362 15
2 3.550 1095696 15
1 3.562 941774 15
2 3.574 1211766 15
1 3.578 1149552 15
1 3.588 1039820 15
1 3.592 1107080 15
1 3.598 979340 14
2 3.610 1149660 15
1 3.622 1361004 14
1 3.636 979340 14
1 3.646 1063906 15
1 3.653 1113558 15
1 3.667 947944 15
1 3.675 1192240 15
1 3.692 1021920 15
1 3.709 979340 15
1 3.718 968194 15
1 3.732 1003626 15
1 3.769 947436 13
1 3.781 1037480 15
1 3.793 1157462 15
1 3.797 979340 14
1 3.802 1125752 15
1 3.820 1107080 15
1 3.823 979340 15
1 3.845 1144992 15
1 3.863 1277400 15
1 3.865 1064500 15
1 3.871 979340 15
1 3.873 1064500 15
1 3.882 1164448 15
1 3.886 1202522 15
1 3.889 1107080 15
1 3.893 1021920 15
1 3.905 979340 15
1 3.968 1192186 15
1 3.980 998450 15
1 3.994 1021920 15
2 4.011 1481218 15
1 4.014 1247830 15
1 4.038 1021920 14
2 4.057 1064500 15
1 4.101 1107026 15
1 4.120 979178 15
1 4.124 1135440 15
1 4.146 980934 14
1 4.165 1021920 15
1 4.173 1234820 15
1 4.182 1016712 15
1 4.184 1107080 14
1 4.222 1300200 15
1 4.224 944508 15
1 4.231 1149660 15
1 4.238 1192240 15
1 4.249 1023314 15
1 4.258 979340 15
1 4.261 1107080 15
1 4.271 1030300 15
1 4.284 940850 14
1 4.324 979340 15
1 4.337 979340 15
1 4.362 979340 14
1 4.366 1021920 14
1 4.368 1259484 15
1 4.378 979340 15
1 4.391 1064500 15
1 4.407 1021920 15
1 4.416 997618 15
1 4.426 1149660 15
1 4.430 973170 15
1 4.438 1021920 15
1 4.446 1064446 15
1 4.452 1260084 14
1 4.464 951780 15
1 4.466 979340 14
1 4.468 1064500 15
1 4.521 1573148 15
1 4.554 1064500 14
1 4.568 1064500 15
1 4.578 1062058 15
1 4.615 1275088 15
1 4.621 947620 14
1 4.626 1094124 15
1 4.704 1021920 14
1 4.711 979286 14
2 4.733 1021920 15
1 4.746 1064338 15
1 4.759 999482 15
1 4.765 1192240 15
1 4.797 979340 13
1 4.827 1159110 15
1 4.853 1149660 15
1 4.872 1107080 15
1 4.880 979340 13
1 4.886 1021920 14
1 4.942 1149660 15
1 4.951 1320180 14
1 4.959 1064500 14
1 4.963 1017706 15
1 4.976 1124234 15
2 4.981 1131258 15
1 4.985 1094362 15
1 4.987 1021974 14
1 4.991 997348 15
1 5.020 1064500 14
2 5.051 1341894 15
1 5.079 1575460 15
1 5.095 979340 14
1 5.107 1021920 15
1 5.109 1107080 15
1 5.112 979340 15
1 5.118 1062944 15
2 5.127 1107080 15
4 5.139 1500544 15
1 5.151 1064500 15
1 5.155 1064500 15
1 5.157 1107080 15
1 5.206 1192240 15
1 5.211 979340 14
1 5.215 1064500 14
1 5.217 971760 14
1 5.242 1021758 15
1 5.263 1107080 15
1 5.267 976644 15
1 5.270 979340 14
1 5.275 1002486 14
1 5.285 1021866 15
1 5.304 1234820 15
1 5.306 1021920 15
1 5.310 1107080 15
1 5.321 1095302 15
1 5.324 1056520 15
2 5.331 1319926 15
1 5.334 1064500 15
1 5.336 1421068 15
1 5.347 1063398 15
1 5.354 1192240 15
1 5.362 1064500 15
1 5.395 1107080 15
1 5.429 1107080 15
1 5.440 979340 14
1 5.444 1031402 15
1 5.480 1313502 15
1 5.486 982166 15
2 5.488 1064500 15
1 5.545 1127822 15
1 5.561 1021920 15
1 5.597 1020218 15
1 5.600 1457786 15
1 5.623 1153258 15
1 5.627 1021866 14
1 5.642 1107080 15
1 5.652 1064446 15
1 5.657 1442582 14
1 5.663 969788 14
1 5.690 1441172 15
1 5.696 947836 15
1 5.713 1021920 15
1 5.722 995684 15
1 5.741 1021920 15
1 5.773 1418712 14
1 5.776 1149660 15
1 5.794 1025378 15
1 5.800 1064554 15
1 5.805 938554 14
1 5.807 1064446 14
1 5.818 979340 15
1 5.821 1064500 15
1 5.830 1064500 14
1 5.832 1016820 14
1 5.843 1064500 13
1 5.850 1030478 15
1 5.916 979340 13
1 5.923 979340 15
1 5.926 1234928 15
1 5.948 949700 15
2 5.952 1166036 15
1 5.963 1064500 15
1 5.976 1064500 14
1 5.979 1487280 15
1 5.991 1013778 15
1 6.016 1069476 15
1 6.024 1107080 15
1 6.032 1362560 14
1 6.080 1703092 15
1 6.083 1053916 15
1 6.086 1107080 15
1 6.102 1107080 15
1 6.119 979340 14
1 6.142 1299114 15
1 6.144 1131112 15
1 6.153 1015680 15
1 6.163 1066294 15
2 6.166 1064500 14
1 6.184 1070654 15
1 6.202 979340 15
1 6.224 1064500 15
1 6.232 1064500 15
1 6.238 1064500 15
1 6.241 1021920 15
1 6.254 1021920 15
1 6.256 1368460 15
1 6.263 1064500 15
1 6.268 1064500 15
1 6.298 1061950 14
1 6.302 1149660 15
1 6.320 979340 14
1 6.323 1149660 15
1 6.334 945756 14
1 6.343 1064500 15
1 6.352 1034406 15
1 6.361 1107080 13
1 6.368 1064500 15
1 6.387 1259884 15
1 6.423 979340 13
1 6.430 983668 15
1 6.434 1021920 14
1 6.441 1145316 15
1 6.479 1064338 15
2 6.483 1602550 15
1 6.495 1062712 15
1 6.511 1092622 15
1 6.572 1062274 15
1 6.581 983884 15
1 6.588 1064500 15
1 6.591 1008186 15
