Time(s),BytesReceived
0.002860878,107644
0.003860878,57188
0.004860878,49212
0.005860878,0
0.006860878,0
0.007860878,1244
0.008860877999999999,0
0.009860878,0
0.010860878000000001,15132
0.011860878000000002,503170
0.012860878,518190
0.013860878,51400
0.014860878000000001,10838
0.015860878000000002,10838
0.016860878,0
0.017860878,0
0.018860878,0
0.019860878000000002,0
0.020860878,0
0.021860878,0
0.022860878,0
0.023860878000000002,0
0.024860878,0
0.025860878,0
0.026860878,0
0.027860878000000002,0
0.028860878,0
0.029860878,0
0.030860878,0
0.031860877999999995,58
0.032860877999999996,471682
0.033860878,518190
0.034860878,219848
0.035860878,510084
0.036860878,519692
0.037860878,519434
0.038860878,518190
0.039860877999999995,518190
0.040860877999999996,519692
0.041860878,518190
0.042860878,518190
0.043860878,519692
0.044860878,518190
0.045860877999999994,518190
0.046860877999999995,519692
0.047860877999999996,530272
0.048860877999999996,974910
0.049860878,1037882
0.050860878,631172
0.051860878,518190
0.052860878,518190
0.053860878,519692
0.054860878,518190
0.055860877999999996,518190
0.056860878,85012
0.057860878,0
0.058860878,0
0.059860878,0
0.060860878,0
0.061860877999999994,0
0.062860878,0
0.063860878,0
0.064860878,0
0.065860878,1244
0.066860878,0
0.067860878,0
0.068860878,0
0.069860878,15132
0.070860878,91268
0.071860878,10784
0.072860878,54
0.073860878,0
0.07486087799999999,0
0.07586087799999999,106400
0.076860878,78216
0.077860878,518190
0.078860878,519692
0.079860878,617434
0.080860878,1110090
0.081860878,1556072
0.082860878,1544658
0.083860878,1036434
0.084860878,1037882
0.085860878,1037882
0.086860878,1037624
0.087860878,1036380
0.088860878,1039384
0.089860878,1036380
0.09086087799999999,1036380
0.09186087799999999,1037882
0.092860878,1110148
0.093860878,1565350
0.094860878,1535322
0.095860878,1037936
0.096860878,1036380
0.097860878,944156
0.098860878,519692
0.099860878,518190
0.100860878,404938
0.101860878,0
0.102860878,0
0.103860878,0
0.104860878,0
0.105860878,0
0.10686087799999999,28650
0.107860878,77750
0.108860878,1244
0.109860878,0
0.110860878,0
0.111860878,0
0.112860878,0
0.113860878,0
0.114860878,0
0.115860878,0
0.116860878,0
0.117860878,348318
0.118860878,698042
0.119860878,1036380
0.120860878,1017132
0.121860878,519746
0.12286087799999999,518190
0.123860878,519434
0.12486087800000001,913328
0.125860878,1145784
0.126860878,1036380
0.127860878,1036380
0.128860878,1037882
0.129860878,1037882
0.130860878,1118844
0.13186087800000001,1064306
0.13286087800000002,1037882
0.13386087800000002,1036380
0.13486087800000002,1037882
0.13586087800000002,1037882
0.13686087800000002,1036380
0.13786087800000002,1036380
0.13886087800000002,676800
0.13986087800000002,518190
0.14086087800000002,518190
0.14186087800000002,635428
0.14286087800000002,519692
0.14386087800000003,518190
0.14486087800000003,518190
0.14586087800000003,109044
0.14686087800000003,0
0.147860878,0
0.148860878,0
0.149860878,157580
0.150860878,55220
0.151860878,0
0.152860878,199878
0.153860878,518190
0.154860878,686858
0.155860878,519692
0.156860878,263194
0.157860878,54
0.158860878,106400
0.159860878,0
0.160860878,0
0.161860878,0
0.16286087800000001,150312
0.16386087800000002,519692
0.16486087800000002,417888
0.16586087800000002,0
0.16686087800000002,0
0.16786087800000002,0
0.16886087800000002,55686
0.16986087800000002,516688
0.17086087800000002,515464
0.17186087800000002,260012
0.17286087800000002,520936
0.17386087800000002,308300
0.17486087800000003,1186
0.17586087800000003,0
0.17686087800000003,0
0.177860878,1244
0.178860878,0
0.179860878,0
0.180860878,106400
0.181860878,106346
0.182860878,54
0.183860878,0
0.184860878,0
0.185860878,0
0.186860878,0
0.187860878,0
0.188860878,10838
0.189860878,0
0.190860878,0
0.191860878,15132
0.192860878,91268
0.19386087800000001,0
0.19486087800000002,10838
0.19586087800000002,522566
0.19686087800000002,529028
0.19786087800000002,153536
0.19886087800000002,0
0.19986087800000002,0
0.20086087800000002,0
0.20186087800000002,0
0.20286087800000002,0
0.20386087800000002,455218
0.20486087800000002,518190
0.20586087800000002,114484
0.20686087800000003,54184
0.20786087800000003,158616
0.20886087800000003,0
0.20986087800000003,0
0.21086087800000003,106400
0.211860878,106400
0.212860878,0
0.213860878,0
0.214860878,0
0.215860878,205886
0.216860878,518190
0.217860878,363816
0.218860878,58
0.219860878,106342
0.220860878,10838
0.221860878,0
0.222860878,0
0.223860878,0
0.22486087800000001,0
0.22586087800000001,0
0.22686087800000002,0
0.22786087800000002,0
0.22886087800000002,0
0.22986087800000002,0
0.23086087800000002,0
0.23186087800000002,0
0.23286087800000002,0
0.23386087800000002,0
0.23486087800000002,0
0.23586087800000002,240302
0.23686087800000002,1033376
0.23786087800000003,990208
0.23886087800000003,531716
0.23986087800000003,518190
0.24086087800000003,518190
0.241860878,519692
0.242860878,529028
0.243860878,518190
0.244860878,519692
0.245860878,682020
0.246860878,1036380
0.247860878,1107160
0.248860878,1037882
0.249860878,916822
0.250860878,518244
0.251860878,519692
0.252860878,679016
0.253860878,1037882
0.254860878,954214
0.255860878,597442
0.256860878,471026
0.257860878,0
0.258860878,0
0.259860878,0
0.260860878,0
0.261860878,0
0.262860878,0
0.263860878,1244
0.264860878,0
0.265860878,0
0.266860878,0
0.267860878,0
0.268860878,106400
0.269860878,0
0.270860878,0
0.27186087800000003,112762
0.27286087800000003,518190
0.27386087800000003,817274
0.27486087800000003,519750
0.27586087800000003,806144
0.27686087800000003,549378
0.27786087800000003,518190
0.27886087800000003,519692
0.27986087800000004,518190
0.28086087800000004,518190
0.28186087800000004,530530
0.28286087800000004,518190
0.28386087800000004,518190
0.28486087800000004,534824
0.28586087800000004,1021360
0.28686087800000004,1036380
0.28786087800000004,569590
0.28886087800000004,519692
0.28986087800000004,518190
0.29086087800000004,671264
0.291860878,648622
0.292860878,1045716
0.293860878,1037882
0.294860878,663282
0.295860878,518190
0.296860878,602414
0.297860878,1037882
0.298860878,1003668
0.299860878,518190
0.300860878,519692
0.301860878,518190
0.302860878,518190
0.303860878,567868
0.304860878,1037366
0.305860878,1047218
0.306860878,1037882
0.307860878,1037882
0.308860878,1217992
0.309860878,1067568
0.310860878,1037882
0.311860878,1037882
0.312860878,954670
0.313860878,518190
0.314860878,519692
0.315860878,518190
0.316860878,518190
0.317860878,519692
0.318860878,518190
0.319860878,518190
0.320860878,518190
0.321860878,692534
0.322860878,1037882
0.323860878,1036380
0.324860878,1037882
0.325860878,1036380
0.326860878,1048720
0.327860878,1144282
0.328860878,1036380
0.329860878,1039126
0.330860878,1036380
0.331860878,1037882
0.332860878,1037882
0.333860878,1036380
0.33486087800000003,1037882
0.33586087800000003,1047218
0.33686087800000003,1037882
0.33786087800000003,1428256
0.33886087800000003,1554570
0.33986087800000003,1218454
0.34086087800000003,1048720
0.34186087800000003,1036380
0.34286087800000004,860368
0.34386087800000004,529028
0.34486087800000004,520936
0.34586087800000004,518190
0.34686087800000004,518190
0.34786087800000004,519692
0.34886087800000004,518190
0.34986087800000004,518190
0.35086087800000004,599410
0.35186087800000004,544872
0.35286087800000004,518190
0.353860878,674510
0.354860878,1037882
0.355860878,931572
0.356860878,518190
0.357860878,519692
0.358860878,621940
0.359860878,1036380
0.360860878,1427344
0.361860878,1037882
0.362860878,644690
0.363860878,546840
0.364860878,1031874
0.365860878,1037882
0.366860878,1036380
0.367860878,1037882
0.368860878,1036380
0.369860878,1037882
0.370860878,1037882
0.371860878,1135624
0.372860878,1045038
0.373860878,1048720
0.374860878,1036380
0.375860878,1037882
0.376860878,1036380
0.377860878,1037940
0.378860878,1048662
0.379860878,1036380
0.380860878,1037882
0.381860878,1036380
0.382860878,1037882
0.383860878,1037882
0.384860878,999730
0.385860878,518190
0.386860878,519692
0.387860878,518190
0.388860878,518190
0.389860878,518190
0.390860878,626092
0.391860878,518190
0.392860878,519434
0.393860878,519692
0.394860878,518190
0.395860878,518190
0.39686087800000003,626150
0.39786087800000003,519376
0.39886087800000003,623442
0.39986087800000003,519338
0.40086087800000003,519692
0.40186087800000003,529028
0.40286087800000003,529028
0.40386087800000003,519692
0.40486087800000004,518190
0.40586087800000004,518190
0.40686087800000004,519692
0.40786087800000004,528974
0.40886087800000004,635512
0.40986087800000004,1039384
0.41086087800000004,1071370
0.41186087800000004,522342
0.41286087800000004,518190
0.41386087800000004,519692
0.41486087800000004,518190
0.41586087800000004,518190
0.41686087800000005,522180
0.41786087800000005,518190
0.41886087800000005,533322
0.419860878,610960
0.420860878,624590
0.421860878,518190
0.422860878,518190
0.423860878,530530
0.424860878,518190
0.425860878,518190
0.426860878,519692
0.427860878,518190
0.428860878,518190
0.429860878,519692
0.430860878,518190
0.431860878,739366
0.432860878,1036434
0.433860878,1024566
0.434860878,1024364
0.435860878,1037882
0.436860878,542554
0.437860878,518190
0.438860878,518190
0.439860878,519692
0.440860878,518190
0.441860878,826212
0.442860878,1037882
0.443860878,1037882
0.444860878,1036380
0.445860878,1479582
0.446860878,1557574
0.447860878,1162880
0.448860878,1186450
0.449860878,1100612
0.450860878,1037882
0.451860878,1036380
0.452860878,1048720
0.453860878,1048720
0.454860878,1047218
0.455860878,1036380
0.456860878,1039384
0.457860878,1036380
0.458860878,1036380
0.45986087800000003,1039384
0.46086087800000003,1036380
0.46186087800000003,1036380
0.46286087800000003,715852
0.46386087800000003,533322
0.46486087800000003,609458
0.46586087800000003,519692
0.46686087800000003,518190
0.46786087800000004,518190
0.46886087800000004,518190
0.46986087800000004,519692
0.47086087800000004,518190
0.47186087800000004,529028
0.47286087800000004,820204
0.47386087800000004,1036380
0.47486087800000004,788624
0.47586087800000004,519692
0.47686087800000004,518190
0.47786087800000004,624590
0.47886087800000005,540832
0.47986087800000005,603450
0.48086087800000005,518190
0.481860878,624590
0.482860878,519692
0.483860878,518248
0.484860878,519376
0.485860878,519692
0.486860878,518190
0.487860878,569370
0.488860878,574912
0.489860878,518190
0.490860878,730936
0.491860878,624644
0.492860878,626092
0.493860878,518190
0.494860878,518190
0.495860878,519692
0.496860878,518190
0.497860878,518190
0.498860878,519692
0.499860878,519434
0.5008608779999999,518190
0.501860878,518190
0.5028608779999999,519692
0.503860878,518190
0.5048608779999999,624590
0.505860878,520936
0.5068608779999999,518190
0.507860878,529028
0.5088608779999999,519692
0.509860878,518190
0.5108608779999999,518190
0.511860878,518190
0.5128608779999999,519692
0.513860878,325220
0.5148608779999999,106400
0.515860878,0
0.5168608779999999,0
0.517860878,0
0.5188608779999999,106400
0.519860878,10838
0.5208608779999999,0
0.521860878,0
0.5228608779999999,449322
0.523860878,583924
0.5248608779999999,519692
0.525860878,934680
0.5268608779999999,1036380
0.527860878,1037882
0.5288608779999999,1084556
0.529860878,1553068
0.5308608779999999,1662472
0.531860878,1556072
0.5328608779999999,1556072
0.533860878,1556072
0.5348608779999999,1556072
0.535860878,1556072
0.5368608779999999,1554570
0.537860878,1557574
0.5388608779999999,1556072
0.539860878,1554570
0.5408608779999999,1556072
0.541860878,1557574
0.5428608779999999,1554570
0.543860878,1322772
0.5448608779999999,1556072
0.545860878,1416718
0.5468608779999999,616720
0.547860878,519692
0.5488608779999999,518190
0.549860878,459010
0.5508608779999999,0
0.551860878,452214
0.552860878,518190
0.5538608780000001,955384
0.554860878,1111592
0.5558608780000001,789788
0.556860878,984034
0.5578608780000001,1673310
0.558860878,1278534
0.5598608780000001,1051512
0.560860878,1127648
0.5618608780000001,1039384
0.562860878,1036380
0.5638608780000001,1037624
0.564860878,1039384
0.5658608780000001,1047218
0.566860878,1037624
0.5678608780000001,1037882
0.568860878,1037882
0.5698608780000001,1107086
0.570860878,1073576
0.5718608780000001,1083054
0.572860878,1613260
0.5738608780000001,2072760
0.574860878,1607862
0.5758608780000001,1553122
0.576860878,1724408
0.5778608780000001,1557906
0.578860878,1437746
0.5798608779999999,1036380
0.580860878,1037882
0.5818608779999999,1037882
0.582860878,1036380
0.5838608779999999,1036380
0.584860878,1039384
0.5858608779999999,1036380
0.586860878,1036380
0.5878608779999999,1039384
0.588860878,1036380
0.5898608779999999,1036380
0.590860878,1037882
0.5918608779999999,1037882
0.592860878,1037624
0.5938608779999999,1037882
0.594860878,1144282
0.5958608779999999,1099576
0.596860878,1553068
0.5978608779999999,1547338
0.598860878,1224054
0.5998608779999999,1554570
0.600860878,1537148
0.6018608779999999,1037936
0.602860878,1036380
0.6038608779999999,1037882
0.604860878,1037882
0.6058608779999999,1036380
0.606860878,1036380
0.6078608779999999,1039384
0.608860878,1036380
0.6098608779999999,1424008
0.610860878,1558818
0.6118608779999999,1218454
0.612860878,1036380
0.6138608779999999,1037882
0.614860878,1037882
0.6158608779999999,1036380
0.616860878,1142726
0.6178608779999999,1039438
0.618860878,1036380
0.6198608779999999,1036380
0.620860878,1039384
0.6218608779999999,1142780
0.622860878,1036380
0.6238608779999999,1048720
0.624860878,1225744
0.6258608779999999,1555814
0.626860878,1419722
0.6278608779999999,1037882
0.628860878,1089062
0.6298608779999999,1553068
0.630860878,1557574
0.6318608779999999,1914920
0.632860878,2125442
0.6338608779999999,1927044
0.634860878,1557574
0.6358608779999999,1554570
0.636860878,1599742
0.6378608779999999,2068254
0.638860878,2074320
0.6398608779999999,2562466
0.640860878,2593954
0.6418608779999999,2274472
0.642860878,2592452
0.6438608779999999,2606414
0.644860878,2593954
0.6458608779999999,2561188
0.646860878,2180716
0.6478608779999999,2458886
0.648860878,2593954
0.6498608779999999,2259340
0.650860878,2074262
0.6518608779999999,2182164
0.652860878,2072760
0.6538608779999999,2086602
0.654860878,2075764
0.6558608779999999,2083598
0.656860878,2074262
0.6578608779999999,2025596
0.658860878,1660970
0.6598608779999999,1556130
0.660860878,2041272
0.6618608779999999,2074262
0.662860878,2072760
0.6638608779999999,2086602
0.664860878,2075764
0.6658608779999999,2072760
0.666860878,2362758
0.6678608779999999,3011734
0.668860878,2660374
0.6698608779999999,2867928
0.670860878,2161544
0.6718608779999999,2093434
0.672860878,2075764
0.6738608779999999,2074262
0.674860878,2074262
0.6758608779999999,2074262
0.676860878,2206550
0.677860878,2606036
0.6788608780000001,2592452
0.679860878,2592452
0.6808608780000001,2593954
0.681860878,2262912
0.6828608780000001,2099908
0.683860878,2646636
0.6848608780000001,2652448
0.685860878,2105932
0.6868608780000001,2075764
0.687860878,2074262
0.6888608780000001,2074262
0.689860878,2075764
0.6908608780000001,2085100
0.691860878,2165996
0.6928608780000001,2088928
0.693860878,2075764
0.6948608780000001,2072760
0.695860878,2085100
0.6968608780000001,2075764
0.697860878,1927966
0.6988608780000001,1556072
0.699860878,1557574
0.7008608780000001,1554570
0.701860878,1554570
0.7028608780000001,1579250
0.703860878,1566910
0.7048608780000001,1554570
0.705860878,1557574
0.7068608779999999,1556072
0.707860878,1554570
0.7088608779999999,1556072
0.709860878,1568412
0.7108608779999999,1554570
0.711860878,1556072
0.7128608779999999,1556072
0.713860878,1607252
0.7148608779999999,2071258
0.715860878,2182164
0.7168608779999999,2075764
0.717860878,2072760
