,Position,Length,StartTimestamp
0,69.0,1.0,1641905358022.158
1,433.0,1.0,1641905358022.158
2,555.0,1.0,1641905358022.158
3,665.0,1.0,1641905358022.158
4,747.0,1.0,1641905358022.158
5,767.0,1.0,1641905358022.158
6,792.0,1.0,1641905358022.158
7,817.0,1.0,1641905358022.158
8,819.0,1.0,1641905358022.158
9,824.0,1.0,1641905358022.158
10,827.0,1.0,1641905358022.158
11,924.0,1.0,1641905358022.158
12,926.0,1.0,1641905358022.158
13,985.0,1.0,1641905358022.158
14,987.0,1.0,1641905358022.158
15,1010.0,1.0,1641905358022.158
16,1012.0,1.0,1641905358022.158
17,1070.0,1.0,1641905358022.158
18,1076.0,1.0,1641905358022.158
19,1145.0,1.0,1641905358022.158
20,1167.0,1.0,1641905358022.158
21,1170.0,1.0,1641905358022.158
22,1260.0,1.0,1641905358022.158
23,1276.0,1.0,1641905358022.158
24,1286.0,1.0,1641905358022.158
25,1290.0,1.0,1641905358022.158
26,1293.0,1.0,1641905358022.158
27,1336.0,1.0,1641905358022.158
28,1338.0,1.0,1641905358022.158
29,1348.0,1.0,1641905358022.158
30,1373.0,1.0,1641905358022.158
31,1405.0,1.0,1641905358022.158
32,1407.0,1.0,1641905358022.158
33,1430.0,1.0,1641905358022.158
34,1462.0,1.0,1641905358022.158
35,1482.0,1.0,1641905358022.158
36,1508.0,1.0,1641905358022.158
37,1534.0,1.0,1641905358022.158
38,1537.0,1.0,1641905358022.158
39,1539.0,1.0,1641905358022.158
40,1548.0,1.0,1641905358022.158
41,1612.0,1.0,1641905358022.158
42,1629.0,1.0,1641905358022.158
43,1700.0,1.0,1641905358022.158
44,0.0,2.0,1641905358022.158
45,81.0,2.0,1641905358022.158
46,339.0,2.0,1641905358022.158
47,409.0,2.0,1641905358022.158
48,459.0,2.0,1641905358022.158
49,603.0,2.0,1641905358022.158
50,794.0,2.0,1641905358022.158
51,814.0,2.0,1641905358022.158
52,862.0,2.0,1641905358022.158
53,893.0,2.0,1641905358022.158
54,942.0,2.0,1641905358022.158
55,957.0,2.0,1641905358022.158
56,1062.0,2.0,1641905358022.158
57,1072.0,2.0,1641905358022.158
58,1097.0,2.0,1641905358022.158
59,1101.0,2.0,1641905358022.158
60,1184.0,2.0,1641905358022.158
61,1255.0,2.0,1641905358022.158
62,1553.0,2.0,1641905358022.158
63,65.0,3.0,1641905358022.158
64,264.0,3.0,1641905358022.158
65,574.0,3.0,1641905358022.158
66,725.0,3.0,1641905358022.158
67,1314.0,3.0,1641905358022.158
68,1354.0,3.0,1641905358022.158
69,1426.0,3.0,1641905358022.158
70,1477.0,3.0,1641905358022.158
71,372.0,4.0,1641905358022.158
72,383.0,4.0,1641905358022.158
73,803.0,4.0,1641905358022.158
74,1125.0,4.0,1641905358022.158
75,1614.0,4.0,1641905358022.158
76,72.0,5.0,1641905358022.158
77,106.0,5.0,1641905358022.158
78,417.0,5.0,1641905358022.158
79,509.0,5.0,1641905358022.158
80,693.0,5.0,1641905358022.158
81,1173.0,5.0,1641905358022.158
82,1449.0,5.0,1641905358022.158
83,449.0,6.0,1641905358022.158
84,501.0,6.0,1641905358022.158
85,588.0,6.0,1641905358022.158
86,1160.0,6.0,1641905358022.158
87,1364.0,6.0,1641905358022.158
88,307.0,7.0,1641905358022.158
89,440.0,7.0,1641905358022.158
90,732.0,7.0,1641905358022.158
91,773.0,7.0,1641905358022.158
92,884.0,7.0,1641905358022.158
93,962.0,7.0,1641905358022.158
94,330.0,8.0,1641905358022.158
95,563.0,8.0,1641905358022.158
96,1525.0,8.0,1641905358022.158
97,140.0,9.0,1641905358022.158
98,1110.0,9.0,1641905358022.158
99,272.0,10.0,1641905358022.158
100,930.0,10.0,1641905358022.158
101,155.0,11.0,1641905358022.158
102,48.0,12.0,1641905358022.158
103,87.0,13.0,1641905358022.158
104,395.0,13.0,1641905358022.158
105,216.0,14.0,1641905358022.158
106,351.0,16.0,1641905358022.158
107,197.0,18.0,1641905358022.158
108,115.0,24.0,1641905358022.158
109,171.0,25.0,1641905358022.158
110,232.0,31.0,1641905358022.158
111,5.0,39.0,1641905358022.158
