,ingressRetxAfterBurst,ingressMax,ingressHeightP95,ecnVol,ecnAfterBurst,avgConnections,Position,Length,FirstRetxPosition,maxConnections,maxConnAfterBurst,ingressVol,ingressRetxVol,ingressAfterBurst,ecnP99,ecnP90,LastRetxPosition,sessionIngressVol,sessionIngressRetxVol,sessionECNVol,sessionAvgConnections,Ingress P99.900000,Ingress P99.000000,Ingress P90.000000,Egress P99.900000,Egress P99.000000,Egress P90.000000,ECN P99.900000,ECN P99.000000,ECN P90.000000,Burst Threshold,StartTimestamp
0,0.0,1073547.0,1073547.0,914255.0,0.0,95.0,633.0,1.0,-1.0,95.0,47.0,1073547.0,0.0,238503.0,914255.0,914255.0,-1.0,,,,,,,,,,,,,,,1641906801027.629
1,0.0,819499.0,819499.0,161872.0,274441.0,3.0,722.0,1.0,-1.0,3.0,3.0,819499.0,0.0,416520.0,161872.0,161872.0,-1.0,,,,,,,,,,,,,,,1641906801027.629
2,0.0,882031.0,882031.0,0.0,0.0,2.0,833.0,1.0,-1.0,2.0,2.0,882031.0,0.0,151598.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906801027.629
3,0.0,1247910.0,1226930.35,93163.0,0.0,2.0,550.0,2.0,-1.0,2.0,1.0,2076227.0,0.0,64119.0,58359.630000000005,56196.3,-1.0,,,,,,,,,,,,,,,1641906801027.629
4,0.0,1427894.0,1413415.0,2602111.0,0.0,2.3333333333333335,554.0,3.0,-1.0,3.0,2.0,3667903.0,0.0,684833.0,1320860.58,1211110.8,-1.0,,,,,,,,,,,,,,,1641906801027.629
5,0.0,1063786.0,1054118.8,646301.0,0.0,45.666666666666664,575.0,3.0,-1.0,65.0,25.0,2858415.0,0.0,377137.0,403188.1,373174.0,-1.0,,,,,,,,,,,,,,,1641906801027.629
6,,,,,,,,,,,,,,,,,,104539752.0,588.0,6961854.0,4.732540093119503,1250303.1920000075,682453.6800000003,174023.79999999996,1562500.0,1531811.0400000056,238817.99999999988,736316.6280000403,33309.88000000025,0.0,0.5,1641906801027.629
