,ingressRetxAfterBurst,ingressMax,ingressHeightP95,ecnVol,ecnAfterBurst,avgConnections,Position,Length,FirstRetxPosition,maxConnections,maxConnAfterBurst,ingressVol,ingressRetxVol,ingressAfterBurst,ecnP99,ecnP90,LastRetxPosition,sessionIngressVol,sessionIngressRetxVol,sessionECNVol,sessionAvgConnections,Ingress P99.900000,Ingress P99.000000,Ingress P90.000000,Egress P99.900000,Egress P99.000000,Egress P90.000000,ECN P99.900000,ECN P99.000000,ECN P90.000000,Burst Threshold,StartTimestamp
0,0.0,977445.0,977445.0,0.0,0.0,13.0,18.0,1.0,-1.0,13.0,13.0,977445.0,0.0,660693.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
1,0.0,1077842.0,1077842.0,318858.0,70999.0,19.0,42.0,1.0,-1.0,19.0,24.0,1077842.0,0.0,612810.0,318858.0,318858.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
2,0.0,1244436.0,1244436.0,436351.0,0.0,16.0,50.0,1.0,-1.0,16.0,14.0,1244436.0,0.0,564989.0,436351.0,436351.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
3,0.0,830808.0,830808.0,13789.0,0.0,31.0,93.0,1.0,-1.0,31.0,26.0,830808.0,0.0,261960.0,13789.0,13789.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
4,0.0,1051968.0,1051968.0,10231.0,0.0,22.0,131.0,1.0,-1.0,22.0,27.0,1051968.0,0.0,427025.0,10231.0,10231.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
5,0.0,881733.0,881733.0,0.0,0.0,16.0,211.0,1.0,-1.0,16.0,17.0,881733.0,0.0,736243.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
6,0.0,876200.0,876200.0,0.0,0.0,18.0,213.0,1.0,-1.0,18.0,14.0,876200.0,0.0,536574.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
7,0.0,889002.0,889002.0,262493.0,0.0,12.0,428.0,1.0,-1.0,12.0,9.0,889002.0,0.0,14864.0,262493.0,262493.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
8,0.0,886155.0,886155.0,87536.0,0.0,12.0,605.0,1.0,-1.0,12.0,10.0,886155.0,0.0,381219.0,87536.0,87536.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
9,0.0,1052969.0,1052969.0,0.0,0.0,24.0,643.0,1.0,-1.0,24.0,14.0,1052969.0,0.0,743152.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
10,0.0,802276.0,802276.0,0.0,0.0,13.0,687.0,1.0,-1.0,13.0,10.0,802276.0,0.0,265153.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
11,0.0,847606.0,847606.0,0.0,0.0,16.0,760.0,1.0,-1.0,16.0,16.0,847606.0,0.0,413468.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
12,0.0,808800.0,808800.0,0.0,0.0,14.0,829.0,1.0,-1.0,14.0,14.0,808800.0,0.0,747505.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
13,0.0,858006.0,858006.0,0.0,0.0,16.0,844.0,1.0,-1.0,16.0,15.0,858006.0,0.0,237033.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
14,0.0,1104001.0,1104001.0,0.0,0.0,18.0,933.0,1.0,-1.0,18.0,18.0,1104001.0,0.0,463352.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
15,0.0,841740.0,841740.0,0.0,0.0,12.0,1098.0,1.0,-1.0,12.0,11.0,841740.0,0.0,485207.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
16,0.0,931663.0,931663.0,0.0,0.0,10.0,1101.0,1.0,-1.0,10.0,11.0,931663.0,0.0,353298.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
17,0.0,856569.0,856569.0,0.0,0.0,15.0,1129.0,1.0,-1.0,15.0,15.0,856569.0,0.0,207345.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
18,0.0,811159.0,811159.0,0.0,0.0,12.0,1171.0,1.0,-1.0,12.0,12.0,811159.0,0.0,586186.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905635027.736
