,ingressRetxAfterBurst,ingressMax,ingressHeightP95,ecnVol,ecnAfterBurst,avgConnections,Position,Length,FirstRetxPosition,maxConnections,maxConnAfterBurst,ingressVol,ingressRetxVol,ingressAfterBurst,ecnP99,ecnP90,LastRetxPosition,sessionIngressVol,sessionIngressRetxVol,sessionECNVol,sessionAvgConnections,Ingress P99.900000,Ingress P99.000000,Ingress P90.000000,Egress P99.900000,Egress P99.000000,Egress P90.000000,ECN P99.900000,ECN P99.000000,ECN P90.000000,Burst Threshold,StartTimestamp
0,0.0,1191692.0,1191692.0,0.0,0.0,3.0,218.0,1.0,-1.0,3.0,2.0,1191692.0,0.0,566949.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
1,0.0,989540.0,989540.0,0.0,0.0,2.0,231.0,1.0,-1.0,2.0,1.0,989540.0,0.0,372583.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
2,0.0,818279.0,818279.0,0.0,0.0,2.0,235.0,1.0,-1.0,2.0,1.0,818279.0,0.0,210616.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
3,0.0,975134.0,975134.0,0.0,0.0,75.0,273.0,1.0,-1.0,75.0,81.0,975134.0,0.0,531895.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
4,0.0,992992.0,992992.0,0.0,0.0,40.0,332.0,1.0,-1.0,40.0,34.0,992992.0,0.0,382694.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
5,0.0,862759.0,862759.0,0.0,0.0,120.0,344.0,1.0,-1.0,120.0,28.0,862759.0,0.0,168069.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
6,0.0,791460.0,791460.0,63633.0,0.0,1.0,480.0,1.0,-1.0,1.0,0.0,791460.0,0.0,73.0,63633.0,63633.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
7,0.0,906392.0,906392.0,200499.0,0.0,2.0,640.0,1.0,-1.0,2.0,1.0,906392.0,0.0,396242.0,200499.0,200499.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
8,0.0,1021222.0,1021222.0,500818.0,0.0,4.0,652.0,1.0,-1.0,4.0,4.0,1021222.0,0.0,764091.0,500818.0,500818.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
9,0.0,818924.0,818924.0,0.0,61732.0,2.0,663.0,1.0,-1.0,2.0,2.0,818924.0,0.0,732541.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
10,0.0,967411.0,967411.0,0.0,0.0,47.0,1191.0,1.0,-1.0,47.0,1.0,967411.0,0.0,68.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
11,0.0,1375209.0,1345611.1,2023335.0,177937.0,33.5,252.0,2.0,-1.0,35.0,17.0,2158460.0,0.0,552311.0,1313782.3900000001,1258291.9,-1.0,,,,,,,,,,,,,,,1641906527062.853
12,0.0,1123001.0,1115519.25,10038.0,0.0,39.0,256.0,2.0,-1.0,47.0,4.0,2096367.0,0.0,22435.0,9937.62,9034.2,-1.0,,,,,,,,,,,,,,,1641906527062.853
13,0.0,833337.0,831027.0,0.0,0.0,1.0,376.0,2.0,-1.0,1.0,1.0,1620474.0,0.0,618978.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
14,0.0,1047626.0,1037322.85,0.0,0.0,2.0,660.0,2.0,-1.0,2.0,2.0,1889189.0,0.0,548411.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
15,0.0,1354087.0,1340533.55,634596.0,0.0,1.5,665.0,2.0,-1.0,2.0,1.0,2437105.0,0.0,529371.0,397215.04000000004,382536.4,-1.0,,,,,,,,,,,,,,,1641906527062.853
16,0.0,804458.0,804449.75,0.0,0.0,1.0,780.0,2.0,-1.0,1.0,0.0,1608751.0,0.0,499066.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
17,0.0,1327949.0,1301079.5,980037.0,0.0,11.0,910.0,2.0,-1.0,12.0,15.0,2118508.0,0.0,21287.0,706971.39,667122.9,-1.0,,,,,,,,,,,,,,,1641906527062.853
18,0.0,1170057.0,1150818.9,765197.0,0.0,3.5,1140.0,2.0,-1.0,4.0,0.0,1955352.0,0.0,0.0,391829.61,390134.1,-1.0,,,,,,,,,,,,,,,1641906527062.853
19,0.0,1054660.0,1046205.25,0.0,0.0,2.0,1155.0,2.0,-1.0,2.0,2.0,1940225.0,0.0,50969.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
20,0.0,1013341.0,1005890.9,1151570.0,0.0,2.5,1174.0,2.0,-1.0,3.0,1.0,1877680.0,0.0,50143.0,616976.36,609410.6,-1.0,,,,,,,,,,,,,,,1641906527062.853
21,0.0,1033089.0,1010161.2,607095.0,0.0,3.3333333333333335,656.0,3.0,-1.0,4.0,2.0,2626744.0,0.0,571223.0,265265.1,251955.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
22,0.0,1445689.0,1433710.45,2786061.0,202935.0,5.5,1160.0,4.0,-1.0,7.0,3.0,5071926.0,0.0,767211.0,1188702.27,1064234.7000000002,-1.0,,,,,,,,,,,,,,,1641906527062.853
23,0.0,1382073.0,1319124.5,729226.0,0.0,4.666666666666667,644.0,6.0,-1.0,5.0,4.0,5849617.0,0.0,699391.0,373951.25,358815.5,-1.0,,,,,,,,,,,,,,,1641906527062.853
24,0.0,1562500.0,1518821.5,17245269.0,0.0,5.607843137254902,166.0,51.0,-1.0,8.0,3.0,70849038.0,0.0,766846.0,1345928.5,921296.0,-1.0,,,,,,,,,,,,,,,1641906527062.853
25,,,,,,,,,,,,,,,,,,226685244.0,2363.0,28780824.0,4.655783065855008,1525700.8240000051,1467513.7000000004,460802.60000000003,1562500.0,1562500.0,398241.0000000007,1259689.022000014,517228.1000000001,0.0,0.5,1641906527062.853
