,ingressRetxAfterBurst,ingressMax,ingressHeightP95,ecnVol,ecnAfterBurst,avgConnections,Position,Length,FirstRetxPosition,maxConnections,maxConnAfterBurst,ingressVol,ingressRetxVol,ingressAfterBurst,ecnP99,ecnP90,LastRetxPosition,sessionIngressVol,sessionIngressRetxVol,sessionECNVol,sessionAvgConnections,Ingress P99.900000,Ingress P99.000000,Ingress P90.000000,Egress P99.900000,Egress P99.000000,Egress P90.000000,ECN P99.900000,ECN P99.000000,ECN P90.000000,Burst Threshold,StartTimestamp
0,0.0,972167.0,972167.0,0.0,0.0,31.0,393.0,1.0,-1.0,31.0,32.0,972167.0,0.0,464699.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905718034.896
1,0.0,796764.0,796764.0,0.0,0.0,29.0,994.0,1.0,-1.0,29.0,21.0,796764.0,0.0,109590.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905718034.896
2,0.0,916219.0,916219.0,31879.0,0.0,19.0,1499.0,1.0,-1.0,19.0,16.0,916219.0,0.0,103218.0,31879.0,31879.0,-1.0,,,,,,,,,,,,,,,1641905718034.896
3,0.0,1212729.0,1207240.7,1230154.0,0.0,28.0,35.0,2.0,-1.0,28.0,20.0,2315692.0,0.0,703713.0,1016784.88,943001.8,-1.0,,,,,,,,,,,,,,,1641905718034.896
4,0.0,909041.0,903048.85,0.0,0.0,32.0,322.0,2.0,-1.0,32.0,29.0,1698239.0,0.0,342381.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905718034.896
5,0.0,1173060.0,1159750.55,821572.0,0.0,30.5,523.0,2.0,-1.0,32.0,15.0,2079931.0,0.0,26.0,500876.42000000004,484329.2,-1.0,,,,,,,,,,,,,,,1641905718034.896
6,0.0,1104187.0,1100498.75,657045.0,0.0,35.5,959.0,2.0,-1.0,36.0,34.0,2134609.0,0.0,492135.0,512195.57,478459.7,-1.0,,,,,,,,,,,,,,,1641905718034.896
7,0.0,1084202.0,1071587.7,562408.0,0.0,41.5,1739.0,2.0,-1.0,42.0,38.0,1916118.0,0.0,0.0,499463.72,459375.2,-1.0,,,,,,,,,,,,,,,1641905718034.896
8,0.0,1354669.0,1336585.1,1230314.0,0.0,39.333333333333336,1669.0,3.0,-1.0,42.0,38.0,3342060.0,0.0,774839.0,634681.22,614829.2,-1.0,,,,,,,,,,,,,,,1641905718034.896
9,0.0,1184048.0,1163413.4,1576697.0,250484.0,45.5,1681.0,4.0,-1.0,48.0,47.0,4265505.0,0.0,778448.0,668312.2,607627.0,-1.0,,,,,,,,,,,,,,,1641905718034.896
10,0.0,903986.0,898612.7,0.0,0.0,43.5,1686.0,4.0,-1.0,47.0,37.0,3408955.0,0.0,636587.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905718034.896
11,0.0,1418854.0,1396068.0999999999,1986711.0,0.0,40.142857142857146,1613.0,7.0,-1.0,47.0,16.0,8478819.0,0.0,661494.0,1253167.4999999995,808383.0000000002,-1.0,,,,,,,,,,,,,,,1641905718034.896
12,,,,,,,,,,,,,,,,,,92722625.0,93.0,8438991.0,27.222872340425532,1344324.928000001,927968.080000002,129794.20000000008,1249360.3080000018,966010.1100000002,492178.00000000035,717396.2880000331,42586.51000000073,0.0,0.5,1641905718034.896
