,ingressRetxAfterBurst,ingressMax,ingressHeightP95,ecnVol,ecnAfterBurst,avgConnections,Position,Length,FirstRetxPosition,maxConnections,maxConnAfterBurst,ingressVol,ingressRetxVol,ingressAfterBurst,ecnP99,ecnP90,LastRetxPosition,sessionIngressVol,sessionIngressRetxVol,sessionECNVol,sessionAvgConnections,Ingress P99.900000,Ingress P99.000000,Ingress P90.000000,Egress P99.900000,Egress P99.000000,Egress P90.000000,ECN P99.900000,ECN P99.000000,ECN P90.000000,Burst Threshold,StartTimestamp
0,0.0,913299.0,913299.0,289657.0,0.0,72.0,109.0,1.0,-1.0,72.0,15.0,913299.0,0.0,75579.0,289657.0,289657.0,-1.0,,,,,,,,,,,,,,,1641905277029.785
1,0.0,970241.0,970241.0,140676.0,0.0,4.0,499.0,1.0,-1.0,4.0,3.0,970241.0,0.0,670232.0,140676.0,140676.0,-1.0,,,,,,,,,,,,,,,1641905277029.785
2,462.0,1195518.0,1195518.0,1116933.0,0.0,11.0,661.0,1.0,661.0,11.0,14.0,1195518.0,126.0,15639.0,1116933.0,1116933.0,661.0,,,,,,,,,,,,,,,1641905277029.785
3,0.0,891232.0,891232.0,0.0,0.0,69.0,753.0,1.0,-1.0,69.0,9.0,891232.0,0.0,51343.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905277029.785
4,0.0,1313474.0,1313474.0,1208658.0,189739.0,30.0,786.0,1.0,-1.0,30.0,10.0,1313474.0,0.0,572440.0,1208658.0,1208658.0,-1.0,,,,,,,,,,,,,,,1641905277029.785
5,0.0,833189.0,831814.75,999904.0,0.0,2.5,679.0,2.0,-1.0,3.0,2.0,1638893.0,0.0,8467.0,746299.5,701052.0,-1.0,,,,,,,,,,,,,,,1641905277029.785
6,0.0,1400678.0,1392450.75,2436450.0,0.0,30.0,723.0,2.0,-1.0,34.0,8.0,2636811.0,0.0,196801.0,1326366.04,1306503.4,-1.0,,,,,,,,,,,,,,,1641905277029.785
7,0.0,1466983.0,1464055.6,3697249.0,0.0,29.0,727.0,4.0,-1.0,47.0,2.0,5221579.0,0.0,535178.0,1091767.1,1088546.0,-1.0,,,,,,,,,,,,,,,1641905277029.785
8,,,,,,,,,,,,,,,,,,93412111.0,1637.0,12336778.0,4.620020964360587,1405029.377000014,698896.0800000002,147927.19999999998,1562500.0,1562500.0,471224.6999999998,1125463.4250000278,78201.29000000103,0.0,0.5,1641905277029.785
