,Position,Length,StartTimestamp
0,30.0,1.0,1641906555038.455
1,36.0,1.0,1641906555038.455
2,102.0,1.0,1641906555038.455
3,113.0,1.0,1641906555038.455
4,393.0,1.0,1641906555038.455
5,450.0,1.0,1641906555038.455
6,531.0,1.0,1641906555038.455
7,638.0,1.0,1641906555038.455
8,689.0,1.0,1641906555038.455
9,700.0,1.0,1641906555038.455
10,706.0,1.0,1641906555038.455
11,760.0,1.0,1641906555038.455
12,767.0,1.0,1641906555038.455
13,898.0,1.0,1641906555038.455
14,902.0,1.0,1641906555038.455
15,933.0,1.0,1641906555038.455
16,949.0,1.0,1641906555038.455
17,1100.0,1.0,1641906555038.455
18,1140.0,1.0,1641906555038.455
19,1176.0,1.0,1641906555038.455
20,1205.0,1.0,1641906555038.455
21,1580.0,1.0,1641906555038.455
22,61.0,2.0,1641906555038.455
23,125.0,2.0,1641906555038.455
24,211.0,2.0,1641906555038.455
25,225.0,2.0,1641906555038.455
26,407.0,2.0,1641906555038.455
27,479.0,2.0,1641906555038.455
28,488.0,2.0,1641906555038.455
29,697.0,2.0,1641906555038.455
30,730.0,2.0,1641906555038.455
31,980.0,2.0,1641906555038.455
32,1111.0,2.0,1641906555038.455
33,1215.0,2.0,1641906555038.455
34,1277.0,2.0,1641906555038.455
35,1316.0,2.0,1641906555038.455
36,1353.0,2.0,1641906555038.455
37,1430.0,2.0,1641906555038.455
38,1459.0,2.0,1641906555038.455
39,1534.0,2.0,1641906555038.455
40,1544.0,2.0,1641906555038.455
41,1584.0,2.0,1641906555038.455
42,1680.0,2.0,1641906555038.455
43,1693.0,2.0,1641906555038.455
44,1709.0,2.0,1641906555038.455
45,1719.0,2.0,1641906555038.455
46,1756.0,2.0,1641906555038.455
47,1794.0,2.0,1641906555038.455
48,130.0,3.0,1641906555038.455
49,342.0,3.0,1641906555038.455
50,429.0,3.0,1641906555038.455
51,433.0,3.0,1641906555038.455
52,539.0,3.0,1641906555038.455
53,571.0,3.0,1641906555038.455
54,796.0,3.0,1641906555038.455
55,809.0,3.0,1641906555038.455
56,859.0,3.0,1641906555038.455
57,909.0,3.0,1641906555038.455
58,961.0,3.0,1641906555038.455
59,1172.0,3.0,1641906555038.455
60,1730.0,3.0,1641906555038.455
61,254.0,4.0,1641906555038.455
62,371.0,4.0,1641906555038.455
63,401.0,4.0,1641906555038.455
64,577.0,4.0,1641906555038.455
65,680.0,4.0,1641906555038.455
66,1336.0,4.0,1641906555038.455
67,1420.0,4.0,1641906555038.455
68,1762.0,4.0,1641906555038.455
69,1789.0,4.0,1641906555038.455
70,890.0,5.0,1641906555038.455
71,1158.0,5.0,1641906555038.455
72,1329.0,5.0,1641906555038.455
73,1376.0,5.0,1641906555038.455
74,1740.0,5.0,1641906555038.455
75,1799.0,5.0,1641906555038.455
76,1392.0,6.0,1641906555038.455
77,1624.0,6.0,1641906555038.455
78,0.0,7.0,1641906555038.455
79,155.0,7.0,1641906555038.455
