,Position,Length,StartTimestamp
0,85.0,1.0,1641905383008.647
1,168.0,1.0,1641905383008.647
2,563.0,1.0,1641905383008.647
3,588.0,1.0,1641905383008.647
4,843.0,1.0,1641905383008.647
5,943.0,1.0,1641905383008.647
6,1202.0,1.0,1641905383008.647
7,1555.0,1.0,1641905383008.647
8,1569.0,1.0,1641905383008.647
9,1727.0,1.0,1641905383008.647
10,250.0,2.0,1641905383008.647
11,439.0,2.0,1641905383008.647
12,1353.0,2.0,1641905383008.647
13,1540.0,2.0,1641905383008.647
14,151.0,3.0,1641905383008.647
15,1756.0,3.0,1641905383008.647
16,1286.0,6.0,1641905383008.647
