,Position,Length,StartTimestamp
0,138.0,1.0,1641907218031.514
1,179.0,1.0,1641907218031.514
2,866.0,1.0,1641907218031.514
3,871.0,1.0,1641907218031.514
4,1272.0,1.0,1641907218031.514
5,1378.0,1.0,1641907218031.514
6,1425.0,1.0,1641907218031.514
7,1739.0,1.0,1641907218031.514
8,1847.0,1.0,1641907218031.514
9,128.0,2.0,1641907218031.514
10,777.0,2.0,1641907218031.514
11,1116.0,2.0,1641907218031.514
12,1183.0,2.0,1641907218031.514
13,1263.0,2.0,1641907218031.514
14,1343.0,2.0,1641907218031.514
15,1346.0,2.0,1641907218031.514
16,1669.0,2.0,1641907218031.514
17,1684.0,2.0,1641907218031.514
18,1734.0,2.0,1641907218031.514
19,1866.0,2.0,1641907218031.514
20,1873.0,2.0,1641907218031.514
21,1.0,3.0,1641907218031.514
22,148.0,3.0,1641907218031.514
23,847.0,3.0,1641907218031.514
24,880.0,3.0,1641907218031.514
25,923.0,3.0,1641907218031.514
26,1149.0,3.0,1641907218031.514
27,1196.0,3.0,1641907218031.514
28,1580.0,3.0,1641907218031.514
29,1587.0,3.0,1641907218031.514
30,1728.0,3.0,1641907218031.514
31,720.0,4.0,1641907218031.514
32,820.0,4.0,1641907218031.514
33,832.0,4.0,1641907218031.514
34,1154.0,4.0,1641907218031.514
35,693.0,5.0,1641907218031.514
36,712.0,5.0,1641907218031.514
37,765.0,5.0,1641907218031.514
38,839.0,5.0,1641907218031.514
39,1877.0,5.0,1641907218031.514
40,140.0,7.0,1641907218031.514
41,701.0,8.0,1641907218031.514
42,1673.0,8.0,1641907218031.514
43,1692.0,8.0,1641907218031.514
44,1160.0,9.0,1641907218031.514
45,86.0,10.0,1641907218031.514
46,314.0,10.0,1641907218031.514
47,9.0,12.0,1641907218031.514
48,928.0,12.0,1641907218031.514
49,160.0,13.0,1641907218031.514
50,1093.0,13.0,1641907218031.514
51,804.0,14.0,1641907218031.514
52,1742.0,14.0,1641907218031.514
53,182.0,17.0,1641907218031.514
54,205.0,18.0,1641907218031.514
55,781.0,20.0,1641907218031.514
56,1884.0,24.0,1641907218031.514
57,1119.0,29.0,1641907218031.514
58,730.0,34.0,1641907218031.514
59,1389.0,35.0,1641907218031.514
60,592.0,54.0,1641907218031.514
61,1601.0,67.0,1641907218031.514
62,1765.0,72.0,1641907218031.514
63,227.0,84.0,1641907218031.514
64,339.0,122.0,1641907218031.514
65,469.0,122.0,1641907218031.514
66,948.0,143.0,1641907218031.514
