,ingressRetxAfterBurst,ingressMax,ingressHeightP95,ecnVol,ecnAfterBurst,avgConnections,Position,Length,FirstRetxPosition,maxConnections,maxConnAfterBurst,ingressVol,ingressRetxVol,ingressAfterBurst,ecnP99,ecnP90,LastRetxPosition,sessionIngressVol,sessionIngressRetxVol,sessionECNVol,sessionAvgConnections,Ingress P99.900000,Ingress P99.000000,Ingress P90.000000,Egress P99.900000,Egress P99.000000,Egress P90.000000,ECN P99.900000,ECN P99.000000,ECN P90.000000,Burst Threshold,StartTimestamp
0,0.0,802529.0,802529.0,0.0,0.0,13.0,275.0,1.0,-1.0,13.0,14.0,802529.0,0.0,700403.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905024029.252
1,0.0,875331.0,875331.0,588664.0,198320.0,11.0,716.0,1.0,-1.0,11.0,9.0,875331.0,0.0,611376.0,588664.0,588664.0,-1.0,,,,,,,,,,,,,,,1641905024029.252
2,0.0,945295.0,942345.5,0.0,0.0,12.5,1146.0,2.0,-1.0,13.0,13.0,1831600.0,0.0,658518.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905024029.252
3,0.0,1089875.0,1086103.8,312918.0,0.0,9.5,1749.0,2.0,-1.0,10.0,10.0,2104326.0,0.0,751161.0,252904.72,235190.2,-1.0,,,,,,,,,,,,,,,1641905024029.252
4,0.0,940328.0,933375.85,178537.0,60330.0,12.5,1763.0,2.0,-1.0,13.0,12.0,1741613.0,0.0,764773.0,139179.41,130012.1,-1.0,,,,,,,,,,,,,,,1641905024029.252
5,0.0,1156685.0,1154485.0,949439.0,81522.0,8.0,725.0,3.0,-1.0,9.0,9.0,3082392.0,0.0,760628.0,527001.58,507395.8,-1.0,,,,,,,,,,,,,,,1641905024029.252
6,0.0,920470.0,917892.5,186919.0,157136.0,11.333333333333334,1756.0,3.0,-1.0,12.0,13.0,2624816.0,0.0,660492.0,81860.16,81609.6,-1.0,,,,,,,,,,,,,,,1641905024029.252
7,0.0,1170896.0,1156588.0999999999,286716.0,0.0,13.0,1832.0,4.0,-1.0,14.0,11.0,3877142.0,0.0,607826.0,137715.88999999998,133574.9,-1.0,,,,,,,,,,,,,,,1641905024029.252
8,0.0,1247137.0,1244882.0,864347.0,0.0,11.666666666666666,1824.0,6.0,-1.0,13.0,13.0,6307467.0,0.0,643155.0,489932.55000000005,384115.5,-1.0,,,,,,,,,,,,,,,1641905024029.252
9,0.0,1158121.0,1124107.65,705960.0,0.0,9.875,1021.0,8.0,-1.0,12.0,9.0,8059649.0,0.0,269640.0,399516.5199999999,242354.19999999995,-1.0,,,,,,,,,,,,,,,1641905024029.252
10,0.0,1361845.0,1214626.0,2250483.0,219305.0,14.875,1767.0,16.0,-1.0,27.0,15.0,16232373.0,0.0,735730.0,237210.65,235351.0,-1.0,,,,,,,,,,,,,,,1641905024029.252
11,0.0,1518736.0,1502384.0,4917473.0,0.0,14.973684210526315,1784.0,38.0,-1.0,19.0,11.0,49218762.0,0.0,732932.0,386372.84,297498.60000000027,-1.0,,,,,,,,,,,,,,,1641905024029.252
12,0.0,1544388.0,1496936.7,7156795.0,0.0,13.365384615384615,1837.0,52.0,-1.0,16.0,14.0,69491123.0,0.0,641849.0,686360.4600000001,358578.5999999999,-1.0,,,,,,,,,,,,,,,1641905024029.252
13,0.0,1485461.0,1453023.0,6551407.0,0.0,13.61111111111111,816.0,54.0,-1.0,18.0,11.0,71299542.0,0.0,688054.0,440849.00999999995,341054.8,-1.0,,,,,,,,,,,,,,,1641905024029.252
14,0.0,1485815.0,1469121.25,8119678.0,0.0,14.535714285714286,731.0,56.0,-1.0,26.0,12.0,72123730.0,0.0,773397.0,515296.0500000004,347560.5,-1.0,,,,,,,,,,,,,,,1641905024029.252
15,0.0,1523683.0,1495831.7,20187895.0,0.0,15.464912280701755,1031.0,114.0,-1.0,25.0,13.0,155978476.0,0.0,755264.0,550164.04,424937.2,-1.0,,,,,,,,,,,,,,,1641905024029.252
16,0.0,1557591.0,1527525.5999999999,95891950.0,0.0,30.545787545787547,0.0,273.0,-1.0,40.0,12.0,394022973.0,0.0,726540.0,754795.7199999993,555651.8,-1.0,,,,,,,,,,,,,,,1641905024029.252
17,,,,,,,,,,,,,,,,,,911258866.0,0.0,150792744.0,13.47936016511868,1552499.2890000006,1524247.48,1470344.9,1562500.0,1562500.0,1015881.7,775864.5400000007,602794.3399999989,344648.8999999999,0.5,1641905024029.252
