,Position,Length,StartTimestamp
0,8.0,1.0,1641907030017.141
1,43.0,1.0,1641907030017.141
2,77.0,1.0,1641907030017.141
3,137.0,1.0,1641907030017.141
4,177.0,1.0,1641907030017.141
5,200.0,1.0,1641907030017.141
6,209.0,1.0,1641907030017.141
7,230.0,1.0,1641907030017.141
8,271.0,1.0,1641907030017.141
9,278.0,1.0,1641907030017.141
10,316.0,1.0,1641907030017.141
11,330.0,1.0,1641907030017.141
12,343.0,1.0,1641907030017.141
13,360.0,1.0,1641907030017.141
14,381.0,1.0,1641907030017.141
15,386.0,1.0,1641907030017.141
16,416.0,1.0,1641907030017.141
17,420.0,1.0,1641907030017.141
18,433.0,1.0,1641907030017.141
19,441.0,1.0,1641907030017.141
20,451.0,1.0,1641907030017.141
21,516.0,1.0,1641907030017.141
22,518.0,1.0,1641907030017.141
23,591.0,1.0,1641907030017.141
24,624.0,1.0,1641907030017.141
25,637.0,1.0,1641907030017.141
26,670.0,1.0,1641907030017.141
27,761.0,1.0,1641907030017.141
28,800.0,1.0,1641907030017.141
29,808.0,1.0,1641907030017.141
30,840.0,1.0,1641907030017.141
31,854.0,1.0,1641907030017.141
32,919.0,1.0,1641907030017.141
33,945.0,1.0,1641907030017.141
34,954.0,1.0,1641907030017.141
35,957.0,1.0,1641907030017.141
36,999.0,1.0,1641907030017.141
37,1021.0,1.0,1641907030017.141
38,1098.0,1.0,1641907030017.141
39,1100.0,1.0,1641907030017.141
40,1127.0,1.0,1641907030017.141
41,1169.0,1.0,1641907030017.141
42,1190.0,1.0,1641907030017.141
43,1212.0,1.0,1641907030017.141
44,1216.0,1.0,1641907030017.141
45,1256.0,1.0,1641907030017.141
46,1338.0,1.0,1641907030017.141
47,1368.0,1.0,1641907030017.141
48,1378.0,1.0,1641907030017.141
49,1405.0,1.0,1641907030017.141
50,1533.0,1.0,1641907030017.141
51,1548.0,1.0,1641907030017.141
52,1563.0,1.0,1641907030017.141
53,1580.0,1.0,1641907030017.141
54,1657.0,1.0,1641907030017.141
55,1718.0,1.0,1641907030017.141
56,1767.0,1.0,1641907030017.141
57,1838.0,1.0,1641907030017.141
58,1842.0,1.0,1641907030017.141
59,1863.0,1.0,1641907030017.141
60,67.0,2.0,1641907030017.141
61,102.0,2.0,1641907030017.141
62,152.0,2.0,1641907030017.141
63,242.0,2.0,1641907030017.141
64,251.0,2.0,1641907030017.141
65,318.0,2.0,1641907030017.141
66,422.0,2.0,1641907030017.141
67,651.0,2.0,1641907030017.141
68,733.0,2.0,1641907030017.141
69,786.0,2.0,1641907030017.141
70,866.0,2.0,1641907030017.141
71,914.0,2.0,1641907030017.141
72,987.0,2.0,1641907030017.141
73,1057.0,2.0,1641907030017.141
74,1108.0,2.0,1641907030017.141
75,1163.0,2.0,1641907030017.141
76,1180.0,2.0,1641907030017.141
77,1352.0,2.0,1641907030017.141
78,1472.0,2.0,1641907030017.141
79,1515.0,2.0,1641907030017.141
80,1528.0,2.0,1641907030017.141
81,1621.0,2.0,1641907030017.141
82,1644.0,2.0,1641907030017.141
83,1679.0,2.0,1641907030017.141
84,1853.0,2.0,1641907030017.141
85,19.0,3.0,1641907030017.141
86,53.0,3.0,1641907030017.141
87,93.0,3.0,1641907030017.141
88,295.0,3.0,1641907030017.141
89,403.0,3.0,1641907030017.141
90,717.0,3.0,1641907030017.141
91,1586.0,3.0,1641907030017.141
92,1726.0,3.0,1641907030017.141
93,1905.0,3.0,1641907030017.141
94,3.0,4.0,1641907030017.141
95,322.0,4.0,1641907030017.141
96,1568.0,4.0,1641907030017.141
97,1660.0,4.0,1641907030017.141
98,142.0,5.0,1641907030017.141
99,410.0,5.0,1641907030017.141
100,443.0,5.0,1641907030017.141
101,661.0,5.0,1641907030017.141
102,1246.0,5.0,1641907030017.141
103,1267.0,5.0,1641907030017.141
104,1443.0,5.0,1641907030017.141
105,965.0,6.0,1641907030017.141
106,830.0,8.0,1641907030017.141
