,ingressRetxAfterBurst,ingressMax,ingressHeightP95,ecnVol,ecnAfterBurst,avgConnections,Position,Length,FirstRetxPosition,maxConnections,maxConnAfterBurst,ingressVol,ingressRetxVol,ingressAfterBurst,ecnP99,ecnP90,LastRetxPosition,sessionIngressVol,sessionIngressRetxVol,sessionECNVol,sessionAvgConnections,Ingress P99.900000,Ingress P99.000000,Ingress P90.000000,Egress P99.900000,Egress P99.000000,Egress P90.000000,ECN P99.900000,ECN P99.000000,ECN P90.000000,Burst Threshold,StartTimestamp
0,0.0,901086.0,901086.0,0.0,0.0,1.0,82.0,1.0,-1.0,1.0,1.0,901086.0,0.0,502343.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
1,0.0,903650.0,903650.0,0.0,0.0,1.0,210.0,1.0,-1.0,1.0,1.0,903650.0,0.0,610649.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
2,0.0,914619.0,914619.0,591419.0,162942.0,1.0,230.0,1.0,-1.0,1.0,1.0,914619.0,0.0,451010.0,591419.0,591419.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
3,0.0,1018306.0,1018306.0,248725.0,51659.0,1.0,272.0,1.0,-1.0,1.0,0.0,1018306.0,0.0,253718.0,248725.0,248725.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
4,0.0,813102.0,813102.0,0.0,0.0,1.0,796.0,1.0,-1.0,1.0,1.0,813102.0,0.0,336961.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
5,0.0,897795.0,897795.0,0.0,0.0,1.0,1072.0,1.0,-1.0,1.0,1.0,897795.0,0.0,641039.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
6,0.0,832059.0,832059.0,0.0,0.0,1.0,1136.0,1.0,-1.0,1.0,0.0,832059.0,0.0,191708.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
7,0.0,937723.0,937723.0,0.0,0.0,1.0,1196.0,1.0,-1.0,1.0,1.0,937723.0,0.0,343897.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
8,0.0,1024954.0,1024954.0,0.0,0.0,1.0,1384.0,1.0,-1.0,1.0,1.0,1024954.0,0.0,403013.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
9,0.0,1006279.0,1006279.0,0.0,0.0,1.0,1404.0,1.0,-1.0,1.0,0.0,1006279.0,0.0,231794.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
10,0.0,1050575.0,1050575.0,0.0,0.0,1.0,1495.0,1.0,-1.0,1.0,1.0,1050575.0,0.0,453788.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
11,0.0,805759.0,805759.0,0.0,0.0,0.0,1583.0,1.0,-1.0,0.0,0.0,805759.0,0.0,221994.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
12,0.0,1001778.0,1001778.0,0.0,0.0,2.0,1748.0,1.0,-1.0,2.0,2.0,1001778.0,0.0,297410.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
13,0.0,948104.0,948104.0,0.0,0.0,1.0,1785.0,1.0,-1.0,1.0,1.0,948104.0,0.0,359454.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906196027.216
