,ingressRetxAfterBurst,ingressMax,ingressHeightP95,ecnVol,ecnAfterBurst,avgConnections,Position,Length,FirstRetxPosition,maxConnections,maxConnAfterBurst,ingressVol,ingressRetxVol,ingressAfterBurst,ecnP99,ecnP90,LastRetxPosition,sessionIngressVol,sessionIngressRetxVol,sessionECNVol,sessionAvgConnections,Ingress P99.900000,Ingress P99.000000,Ingress P90.000000,Egress P99.900000,Egress P99.000000,Egress P90.000000,ECN P99.900000,ECN P99.000000,ECN P90.000000,Burst Threshold,StartTimestamp
0,0.0,843451.0,843451.0,0.0,0.0,1.0,99.0,1.0,-1.0,1.0,1.0,843451.0,0.0,686217.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
1,0.0,817182.0,817182.0,0.0,0.0,1.0,429.0,1.0,-1.0,1.0,1.0,817182.0,0.0,385.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
2,0.0,910654.0,910654.0,0.0,0.0,2.0,498.0,1.0,-1.0,2.0,2.0,910654.0,0.0,667894.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
3,0.0,891852.0,891852.0,0.0,0.0,1.0,656.0,1.0,-1.0,1.0,0.0,891852.0,0.0,82096.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
4,0.0,985468.0,985468.0,0.0,0.0,1.0,923.0,1.0,-1.0,1.0,1.0,985468.0,0.0,744428.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
5,0.0,918456.0,918456.0,0.0,0.0,1.0,991.0,1.0,-1.0,1.0,1.0,918456.0,0.0,591822.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
6,0.0,1078024.0,1078024.0,0.0,0.0,1.0,1123.0,1.0,-1.0,1.0,1.0,1078024.0,0.0,359010.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
7,0.0,868391.0,868391.0,0.0,0.0,1.0,1274.0,1.0,-1.0,1.0,0.0,868391.0,0.0,400509.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
8,0.0,954330.0,954330.0,0.0,0.0,1.0,1320.0,1.0,-1.0,1.0,1.0,954330.0,0.0,746020.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
9,0.0,815303.0,815303.0,0.0,0.0,1.0,1328.0,1.0,-1.0,1.0,1.0,815303.0,0.0,146733.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
10,0.0,1210773.0,1210773.0,545900.0,0.0,1.0,1523.0,1.0,-1.0,1.0,1.0,1210773.0,0.0,299800.0,545900.0,545900.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
11,0.0,790167.0,790167.0,0.0,0.0,1.0,1534.0,1.0,-1.0,1.0,0.0,790167.0,0.0,651125.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
12,0.0,821256.0,821256.0,0.0,0.0,2.0,1578.0,1.0,-1.0,2.0,1.0,821256.0,0.0,476094.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
13,0.0,782048.0,782048.0,0.0,0.0,1.0,1914.0,1.0,-1.0,1.0,1.0,782048.0,0.0,727873.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
14,0.0,1400415.0,1374503.2,1058369.0,0.0,2.5,339.0,2.0,-1.0,3.0,1.0,2282594.0,0.0,704772.0,851754.93,792507.3,-1.0,,,,,,,,,,,,,,,1641906193029.811
15,0.0,1119798.0,1108647.7,0.0,0.0,1.5,466.0,2.0,-1.0,2.0,1.0,2016590.0,0.0,646354.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
16,0.0,1045231.0,1032224.55,0.0,0.0,1.5,823.0,2.0,-1.0,2.0,1.0,1830333.0,0.0,28085.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
17,0.0,1204672.0,1200758.05,0.0,0.0,1.0,1388.0,2.0,-1.0,1.0,0.0,2331065.0,0.0,173215.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
18,0.0,801000.0,800730.1,0.0,0.0,1.0,1850.0,2.0,-1.0,1.0,1.0,1596602.0,0.0,648912.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
19,0.0,1261625.0,1248898.3,708196.0,0.0,1.6666666666666667,41.0,3.0,-1.0,2.0,0.0,3210640.0,0.0,269702.0,355557.38,342294.8,-1.0,,,,,,,,,,,,,,,1641906193029.811
20,0.0,1362249.0,1323121.3499999999,0.0,0.0,2.25,1573.0,4.0,-1.0,3.0,3.0,4380033.0,0.0,773424.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641906193029.811
21,,,,,,,,,,,,,,,,,,105095218.0,0.0,2439684.0,0.27579162410623087,1265951.832000012,874319.8400000009,134815.99999999985,70322.68500000039,40205.43000000002,7257.6,365152.36700002267,0.0,0.0,0.5,1641906193029.811
