,ingressRetxAfterBurst,ingressMax,ingressHeightP95,ecnVol,ecnAfterBurst,avgConnections,Position,Length,FirstRetxPosition,maxConnections,maxConnAfterBurst,ingressVol,ingressRetxVol,ingressAfterBurst,ecnP99,ecnP90,LastRetxPosition,sessionIngressVol,sessionIngressRetxVol,sessionECNVol,sessionAvgConnections,Ingress P99.900000,Ingress P99.000000,Ingress P90.000000,Egress P99.900000,Egress P99.000000,Egress P90.000000,ECN P99.900000,ECN P99.000000,ECN P90.000000,Burst Threshold,StartTimestamp
0,0.0,908936.0,908936.0,0.0,0.0,24.0,18.0,1.0,-1.0,24.0,18.0,908936.0,0.0,743754.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
1,0.0,830747.0,830747.0,0.0,0.0,33.0,271.0,1.0,-1.0,33.0,35.0,830747.0,0.0,698639.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
2,0.0,825528.0,825528.0,0.0,0.0,7.0,551.0,1.0,-1.0,7.0,7.0,825528.0,0.0,589010.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
3,0.0,787599.0,787599.0,0.0,0.0,31.0,612.0,1.0,-1.0,31.0,34.0,787599.0,0.0,458852.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
4,0.0,795976.0,795976.0,0.0,0.0,11.0,832.0,1.0,-1.0,11.0,12.0,795976.0,0.0,769857.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
5,0.0,820998.0,820998.0,0.0,0.0,12.0,901.0,1.0,-1.0,12.0,12.0,820998.0,0.0,718966.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
6,0.0,838491.0,838491.0,0.0,0.0,17.0,1045.0,1.0,-1.0,17.0,26.0,838491.0,0.0,603748.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
7,0.0,829840.0,829840.0,0.0,0.0,17.0,1061.0,1.0,-1.0,17.0,26.0,829840.0,0.0,778396.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
8,0.0,838928.0,838928.0,0.0,0.0,7.0,1506.0,1.0,-1.0,7.0,6.0,838928.0,0.0,779417.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
9,0.0,797828.0,797828.0,0.0,0.0,18.0,1844.0,1.0,-1.0,18.0,17.0,797828.0,0.0,533791.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
10,0.0,842971.0,842971.0,0.0,0.0,8.0,1915.0,1.0,-1.0,8.0,9.0,842971.0,0.0,711992.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
11,0.0,784500.0,784500.0,0.0,0.0,6.0,1955.0,1.0,-1.0,6.0,0.0,784500.0,0.0,0.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
12,0.0,810439.0,809808.4,0.0,0.0,24.0,132.0,2.0,-1.0,25.0,31.0,1608266.0,0.0,685598.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
13,0.0,1002168.0,993440.3,0.0,0.0,50.5,154.0,2.0,-1.0,54.0,46.0,1829782.0,0.0,729172.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
14,0.0,837838.0,835526.35,0.0,0.0,31.5,174.0,2.0,-1.0,32.0,30.0,1629443.0,0.0,767902.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
15,0.0,840784.0,838508.9,0.0,0.0,35.5,268.0,2.0,-1.0,37.0,33.0,1636066.0,0.0,715161.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
16,0.0,950924.0,949779.45,0.0,0.0,10.0,325.0,2.0,-1.0,10.0,13.0,1878957.0,0.0,758394.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
17,0.0,1207192.0,1197681.0,221476.0,0.0,21.0,524.0,2.0,-1.0,26.0,13.0,2224164.0,0.0,596987.0,141548.22,135889.2,-1.0,,,,,,,,,,,,,,,1641905779026.512
18,0.0,886426.0,885259.7,0.0,0.0,13.5,536.0,2.0,-1.0,14.0,12.0,1749526.0,0.0,641287.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
19,0.0,839038.0,837312.25,0.0,0.0,12.5,581.0,2.0,-1.0,18.0,10.0,1643561.0,0.0,681897.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
20,0.0,912354.0,906097.75,0.0,0.0,16.5,817.0,2.0,-1.0,17.0,15.0,1699583.0,0.0,670707.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
21,0.0,933069.0,926514.45,0.0,0.0,11.5,866.0,2.0,-1.0,12.0,11.0,1735047.0,0.0,363001.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
22,0.0,966126.0,958967.95,0.0,0.0,12.0,879.0,2.0,-1.0,12.0,11.0,1789091.0,0.0,445646.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
23,0.0,944597.0,943941.75,0.0,0.0,28.5,980.0,2.0,-1.0,34.0,25.0,1876089.0,0.0,763106.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
24,0.0,1000684.0,997648.45,0.0,0.0,16.0,994.0,2.0,-1.0,17.0,17.0,1940657.0,0.0,621570.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
25,0.0,845304.0,842982.95,0.0,0.0,23.5,1089.0,2.0,-1.0,24.0,18.0,1644187.0,0.0,659428.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
26,0.0,1004834.0,1004244.55,0.0,0.0,12.5,1217.0,2.0,-1.0,13.0,15.0,1997879.0,0.0,758274.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
27,0.0,1007223.0,1004520.2,0.0,0.0,31.0,1235.0,2.0,-1.0,33.0,29.0,1960390.0,0.0,682730.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
28,0.0,862244.0,861668.5,0.0,0.0,32.5,1289.0,2.0,-1.0,39.0,28.0,1712978.0,0.0,691978.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
29,0.0,917662.0,911496.35,0.0,0.0,6.5,1379.0,2.0,-1.0,7.0,7.0,1712011.0,0.0,655388.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
30,0.0,1366292.0,1354509.9,230412.0,241744.0,6.0,1499.0,2.0,-1.0,6.0,6.0,2496942.0,0.0,715745.0,228107.88,207370.80000000002,-1.0,,,,,,,,,,,,,,,1641905779026.512
31,0.0,991163.0,986060.5,0.0,4920.0,23.5,1811.0,2.0,-1.0,25.0,33.0,1880276.0,0.0,726565.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
32,0.0,942975.0,935779.5,0.0,0.0,9.0,1933.0,2.0,-1.0,10.0,13.0,1742040.0,0.0,752113.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
33,0.0,835522.0,834941.4,0.0,0.0,35.666666666666664,115.0,3.0,-1.0,37.0,32.0,2463871.0,0.0,666619.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
34,0.0,1180818.0,1160446.1,0.0,0.0,13.333333333333334,318.0,3.0,-1.0,15.0,9.0,3080008.0,0.0,409835.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
35,0.0,1147701.0,1138254.2,0.0,0.0,8.333333333333334,590.0,3.0,-1.0,9.0,5.0,3048497.0,0.0,662324.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
36,0.0,1240162.0,1231562.4,0.0,0.0,15.333333333333334,685.0,3.0,-1.0,23.0,12.0,3380530.0,0.0,668208.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
37,0.0,1235812.0,1227923.7,0.0,0.0,15.0,822.0,3.0,-1.0,15.0,13.0,3311547.0,0.0,469103.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
38,0.0,1021009.0,999335.6,0.0,0.0,19.333333333333332,997.0,3.0,-1.0,21.0,13.0,2624184.0,0.0,474239.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
39,0.0,1119089.0,1099650.9,0.0,0.0,24.666666666666668,1063.0,3.0,-1.0,28.0,19.0,2934769.0,0.0,346403.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
40,0.0,1148845.0,1139963.8,83120.0,0.0,40.0,1222.0,3.0,-1.0,60.0,42.0,3140333.0,0.0,662437.0,42517.12,42158.2,-1.0,,,,,,,,,,,,,,,1641905779026.512
41,0.0,1027966.0,1019361.5,0.0,0.0,25.666666666666668,1254.0,3.0,-1.0,31.0,15.0,2806155.0,0.0,739384.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
42,0.0,1166316.0,1133508.0,0.0,0.0,20.0,1283.0,3.0,-1.0,29.0,14.0,2809822.0,0.0,420700.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
43,0.0,832731.0,832350.5,0.0,0.0,41.666666666666664,1394.0,3.0,-1.0,49.0,44.0,2477357.0,0.0,647796.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
44,0.0,1164616.0,1140874.4,116699.0,0.0,10.333333333333334,1599.0,3.0,-1.0,11.0,13.0,2963356.0,0.0,624150.0,59693.98,59189.8,-1.0,,,,,,,,,,,,,,,1641905779026.512
45,0.0,1142488.0,1124297.2,0.0,0.0,21.5,60.0,4.0,-1.0,30.0,31.0,3996318.0,0.0,511123.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
46,0.0,1040179.0,1028279.6499999999,0.0,0.0,10.25,347.0,4.0,-1.0,12.0,7.0,3745810.0,0.0,384528.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
47,0.0,836220.0,831862.65,0.0,0.0,7.75,567.0,4.0,-1.0,9.0,9.0,3239777.0,0.0,578897.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
48,0.0,1382050.0,1366836.7,0.0,0.0,19.25,808.0,4.0,-1.0,41.0,49.0,4496146.0,0.0,578881.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
49,0.0,1358225.0,1357423.25,1527572.0,0.0,27.5,1031.0,4.0,-1.0,35.0,34.0,4893961.0,0.0,762313.0,680367.97,674643.7,-1.0,,,,,,,,,,,,,,,1641905779026.512
50,0.0,1215308.0,1206400.4,85.0,0.0,15.0,1107.0,4.0,-1.0,15.0,14.0,4136636.0,0.0,537314.0,43.91,43.1,-1.0,,,,,,,,,,,,,,,1641905779026.512
51,0.0,1323915.0,1322733.15,0.0,0.0,33.75,1677.0,4.0,-1.0,46.0,22.0,4548293.0,0.0,313828.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
52,0.0,1186458.0,1183944.0,411177.0,0.0,34.0,245.0,5.0,-1.0,36.0,25.0,5488194.0,0.0,665212.0,176150.12,173172.2,-1.0,,,,,,,,,,,,,,,1641905779026.512
53,0.0,1006351.0,1005782.8,0.0,0.0,25.2,365.0,5.0,-1.0,32.0,18.0,4508800.0,0.0,776338.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
54,0.0,1305956.0,1289487.2,270441.0,0.0,19.2,834.0,5.0,-1.0,31.0,13.0,5739391.0,0.0,703948.0,138206.36,135869.6,-1.0,,,,,,,,,,,,,,,1641905779026.512
55,0.0,1117802.0,1111047.2,0.0,0.0,14.2,895.0,5.0,-1.0,15.0,14.0,5013273.0,0.0,763468.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
56,0.0,1128932.0,1108590.6,0.0,0.0,21.4,1293.0,5.0,-1.0,34.0,12.0,4857296.0,0.0,532244.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
57,0.0,932714.0,920425.2,0.0,0.0,7.2,1491.0,5.0,-1.0,9.0,3.0,4289432.0,0.0,681570.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
58,0.0,1055873.0,1050329.5,0.0,0.0,31.833333333333332,123.0,6.0,-1.0,39.0,34.0,5417832.0,0.0,761626.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
59,0.0,1405296.0,1394834.75,1492496.0,0.0,6.166666666666667,796.0,6.0,-1.0,8.0,4.0,7526643.0,0.0,582714.0,615178.65,600460.5,-1.0,,,,,,,,,,,,,,,1641905779026.512
60,0.0,1497818.0,1455158.5999999999,1217091.0,0.0,18.0,298.0,7.0,-1.0,24.0,18.0,7714039.0,0.0,705451.0,592553.0999999999,496965.00000000006,-1.0,,,,,,,,,,,,,,,1641905779026.512
61,0.0,1375778.0,1358530.0,330760.0,0.0,14.625,885.0,8.0,-1.0,19.0,11.0,8713699.0,0.0,589250.0,143578.27,111927.7,-1.0,,,,,,,,,,,,,,,1641905779026.512
62,0.0,1305941.0,1285908.75,342959.0,0.0,19.5,1036.0,8.0,-1.0,32.0,14.0,8880456.0,0.0,777798.0,175018.83,169833.3,-1.0,,,,,,,,,,,,,,,1641905779026.512
63,0.0,1036025.0,1020571.7999999999,0.0,0.0,33.625,1754.0,8.0,-1.0,48.0,33.0,7443389.0,0.0,763673.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
64,0.0,1279366.0,1264915.6,80655.0,0.0,18.0,407.0,9.0,-1.0,34.0,27.0,10060705.0,0.0,470073.0,41140.2,39747.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
65,0.0,1300733.0,1276028.45,0.0,0.0,28.0,283.0,10.0,-1.0,32.0,16.0,10374544.0,0.0,615918.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
66,0.0,1460922.0,1442017.5,2426680.0,0.0,25.9,1049.0,10.0,-1.0,35.0,34.0,13289615.0,0.0,764865.0,570278.74,489267.39999999997,-1.0,,,,,,,,,,,,,,,1641905779026.512
67,0.0,1506931.0,1431357.0999999999,421931.0,0.0,18.3,1301.0,10.0,-1.0,29.0,27.0,11870828.0,0.0,695548.0,124173.14,116434.4,-1.0,,,,,,,,,,,,,,,1641905779026.512
68,0.0,1378243.0,1348760.0,1900796.0,0.0,14.545454545454545,1444.0,11.0,-1.0,25.0,19.0,11771350.0,0.0,589773.0,528404.8,473296.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
69,0.0,1400865.0,1361536.7,1597973.0,0.0,11.5,332.0,12.0,-1.0,17.0,25.0,12672966.0,0.0,585569.0,694429.0400000002,495877.0000000001,-1.0,,,,,,,,,,,,,,,1641905779026.512
70,0.0,1491545.0,1468517.5999999999,2190191.0,0.0,19.416666666666668,964.0,12.0,-1.0,31.0,23.0,15150688.0,0.0,552481.0,646495.54,598480.8,-1.0,,,,,,,,,,,,,,,1641905779026.512
71,0.0,1250611.0,1196387.5999999999,0.0,0.0,15.083333333333334,1605.0,12.0,-1.0,25.0,13.0,12494835.0,0.0,721056.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
72,0.0,1480189.0,1452708.4,3475207.0,0.0,29.615384615384617,1266.0,13.0,-1.0,46.0,25.0,15458645.0,0.0,598955.0,1092678.68,925538.2000000003,-1.0,,,,,,,,,,,,,,,1641905779026.512
73,0.0,1301884.0,1270001.8,507259.0,0.0,11.066666666666666,1472.0,15.0,-1.0,24.0,8.0,15888395.0,0.0,645408.0,236992.81999999998,135049.59999999992,-1.0,,,,,,,,,,,,,,,1641905779026.512
74,0.0,1491946.0,1473800.5,3432324.0,0.0,15.125,727.0,16.0,-1.0,31.0,8.0,20258213.0,0.0,326169.0,832970.0499999999,576608.5,-1.0,,,,,,,,,,,,,,,1641905779026.512
75,0.0,1474594.0,1458390.45,3674592.0,0.0,13.88888888888889,1351.0,18.0,-1.0,25.0,24.0,22328896.0,0.0,774775.0,692452.1099999996,513173.30000000005,-1.0,,,,,,,,,,,,,,,1641905779026.512
76,0.0,1495874.0,1418588.0,2079105.0,0.0,38.23809523809524,90.0,21.0,-1.0,45.0,33.0,24516282.0,0.0,710138.0,387026.0,237895.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
77,0.0,1490466.0,1421774.2,2765876.0,0.0,16.956521739130434,1618.0,23.0,-1.0,42.0,15.0,27265597.0,0.0,702543.0,702388.16,360234.0,-1.0,,,,,,,,,,,,,,,1641905779026.512
78,0.0,1547608.0,1506752.5,12785211.0,0.0,12.735294117647058,760.0,34.0,-1.0,25.0,7.0,46035164.0,0.0,744978.0,1075453.4700000002,951225.7999999999,-1.0,,,,,,,,,,,,,,,1641905779026.512
79,0.0,1562500.0,1538068.25,11572830.0,41.0,24.305555555555557,1314.0,36.0,-1.0,45.0,11.0,49296530.0,0.0,722515.0,884376.35,712563.5,-1.0,,,,,,,,,,,,,,,1641905779026.512
80,0.0,1534321.0,1514824.7999999998,16495013.0,0.0,13.959183673469388,912.0,49.0,-1.0,30.0,17.0,64346273.0,0.0,712873.0,1127234.239999999,805156.4000000003,-1.0,,,,,,,,,,,,,,,1641905779026.512
81,0.0,1562500.0,1527822.0,38860528.0,0.0,28.847826086956523,1118.0,92.0,-1.0,43.0,12.0,127793253.0,0.0,640744.0,1060220.5500000003,933979.8000000004,-1.0,,,,,,,,,,,,,,,1641905779026.512
82,,,,,,,,,,,,,,,,,,1167266068.0,0.0,110987351.0,19.86605316973415,1562500.0,1506536.6500000001,1354829.0,1562500.0,1529978.9000000001,1111633.5,1105478.1650000068,896933.0000000001,158719.0,0.5,1641905779026.512
