,Position,Length,StartTimestamp
0,181.0,1.0,1641904354031.384
1,330.0,1.0,1641904354031.384
2,387.0,1.0,1641904354031.384
3,522.0,1.0,1641904354031.384
4,1019.0,1.0,1641904354031.384
5,1040.0,1.0,1641904354031.384
6,1172.0,1.0,1641904354031.384
7,1023.0,2.0,1641904354031.384
8,1571.0,2.0,1641904354031.384
9,390.0,3.0,1641904354031.384
10,661.0,4.0,1641904354031.384
11,1043.0,4.0,1641904354031.384
12,666.0,7.0,1641904354031.384
13,1028.0,10.0,1641904354031.384
14,1317.0,12.0,1641904354031.384
15,151.0,26.0,1641904354031.384
