FlowId,Type,Size,StartTime,EndTime,FCT,RxBytes,FinReceived
1,Background,10485760,0.0798864,0.181037694,0.101151294,10876994,True
0,Background,1024,0.0803391,0.160830467,0.08049136700000001,1244,True
2,Background,1048576,0.0814018,0.095381884,0.013980084000000004,1087892,True
0,Background,1048576,0.0830478,0.168381436,0.08533363599999999,1087892,True
1,Background,1024,0.0833694,0.16689077,0.08352137,1244,True
0,Background,10240,0.083926,0.168010132,0.084084132,10838,True
1,Background,1048576,0.0845644,0.149774492,0.06521009200000001,106400,True
1,Background,10240,0.0846988,0.169556418,0.08485761799999998,10838,True
1,Background,1048576,0.0858388,0.141748438,0.055909638,106400,True
1,Background,1024,0.086212,0.172577124,0.086365124,1244,True
0,Background,1048576,0.0870625,0.176411042,0.08934854199999999,1087892,True
0,Background,102400,0.0871186,0.174627307,0.087508707,106400,True
0,Background,1024,0.0871528,0.174459425,0.087306625,1244,True
1,Background,1024,0.0890616,0.178274815,0.089213215,1244,True
0,Background,1048576,0.0900494,0.182385503,0.092336103,1087892,True
2,Background,102400,0.0902544,0.124202014,0.033947614,1244,True
2,Background,10485760,0.0909841,0.12964895,0.038664850000000014,106400,True
0,Background,102400,0.0910086,0.182407407,0.091398807,106400,True
1,Background,10240,0.0942076,0.188521344,0.094313744,10838,True
2,Background,102400,0.0961224,0.192634441,0.09651204099999999,106400,True
1,Background,1048576,0.0968644,0.142316054,0.045451653999999994,1087892,True
1,Background,10240,0.0974571,0.138722305,0.041265204999999985,10876994,True
2,Background,1048576,0.0977069,0.107429138,0.009722237999999994,106400,True
0,Background,102400,0.0978488,0.196088111,0.09823931100000001,106400,True
1,Background,10240,0.0983437,0.11784547,0.019501769999999988,1244,True
0,Background,1048576,0.0995381,0.201361084,0.10182298399999999,1087892,True
0,Background,10485760,0.101333,0.223873713,0.122540713,10876994,True
1,Background,1048576,0.101672,0.20564111,0.10396910999999999,1087892,True
2,Background,1024,0.101807,0.181037694,0.079230694,10876994,True
0,Background,102400,0.103446,0.20752239,0.10407639,106400,True
2,Background,102400,0.103884,0.172577124,0.068693124,1244,True
1,Background,102400,0.105261,0.210837658,0.10557665800000002,106400,True
0,Background,102400,0.105739,0.211794804,0.106055804,106400,True
0,Background,102400,0.106212,0.212813382,0.106601382,106400,True
1,Background,1048576,0.107876,0.196088111,0.08821211100000001,106400,True
0,Background,1024,0.108748,0.217647116,0.108899116,1244,True
3,Background,102400,0.109651,0.124202014,0.014551014000000001,1244,True
2,Background,10240,0.110245,0.141984943,0.03173994300000001,10838,True
1,Background,102400,0.11311,0.226609926,0.11349992599999999,106400,True
0,Background,1024,0.113971,0.228093446,0.114122446,1244,True
1,Background,1048576,0.11616,0.234615107,0.11845510699999999,1087892,True
0,Background,102400,0.117668,0.235726626,0.118058626,106400,True
1,Background,1048576,0.117783,0.160830467,0.043047467000000006,1244,True
1,Background,1048576,0.118023,0.20752239,0.08949939,106400,True
0,Background,10485760,0.118084,0.257329823,0.13924582300000002,10876994,True
0,Background,10240,0.119105,0.238366815,0.11926181500000001,10838,True
2,Background,1024,0.119148,0.20752239,0.08837439,106400,True
1,Background,10240,0.119293,0.238743295,0.119450295,10838,True
2,Background,10240,0.119766,0.239687396,0.119921396,10838,True
1,Background,10240,0.121179,0.150259782,0.029080782000000013,106400,True
1,Background,10240,0.1221,0.217647116,0.095547116,1244,True
0,Background,1048576,0.122921,0.248204527,0.125283527,1087892,True
0,Background,1024,0.123886,0.247873492,0.123987492,1244,True
0,Background,1048576,0.123888,0.250036151,0.126148151,1087892,True
0,Background,102400,0.12485,0.250089823,0.12523982299999997,106400,True
4,Background,10240,0.125104,0.180899747,0.05579574700000001,106400,True
1,Background,1024,0.125269,0.250690647,0.125421647,1244,True
2,Background,102400,0.125776,0.169556418,0.04378041799999999,10838,True
0,Background,1024,0.125959,0.252070687,0.12611168700000003,1244,True
